Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
41,right,Sillon_Central,2,1.5181428,-1.5121474,-1.5528885,-2.936745,-2.5889479160308837
41,right,Sillon_Temporal_superieur,3,1.356737,-1.298628,-1.287016,-2.902959,-2.6259573698043823
41,right,S.Pe.C.inf.,4,1.4732298,-1.4083383,-1.5687277,-2.9702048,-2.569344460964203
41,right,S.Pe.C.sup.,5,1.3390319,-1.312938,-1.2743101,-3.0488768,-2.6965304017066956
41,right,S.Po.C.,6,1.3403299,-1.2060676,-1.3385544,-2.7354162,-2.4166852951049806
41,right,Fissure_Intra_Parietale,7,1.0421258,-0.75089246,-0.73269445,-2.6174726,-2.3671308755874634
41,right,Sillon_Frontal_superieur,8,1.3739961,-1.3355193,-1.3866023,-2.7940907,-2.543995940685272
41,right,Sillon_Frontal_inferieur,9,1.1879315,-1.1613536,-1.2674329,-2.4288356,-2.0832009315490723
41,right,S.T.i.,10,0.9641028,-0.78224087,-0.8860791,-2.3868127,-1.9528257548809052
41,right,F.C.M.,11,1.5107676,-1.4841883,-1.584086,-2.9373493,-2.5801549792289733
41,right,Fissure_Calcarine.,12,1.3779525,-1.3535235,-1.4082739,-2.7720459,-2.548151671886444
41,right,S.F.int.,13,0.66180676,-0.5386598,-0.5871016,-1.9236547,-1.584998470544815
41,right,S.R.inf,14,0.88513166,-0.86501765,-0.795369,-1.9806992,-1.8656976222991943
41,right,F.Coll.,15,1.4717661,-1.3759071,-1.4674695,-3.0413961,-2.8796761989593507
41,right,S.S.p.,16,0.9934533,-0.86236006,-0.9553042,-2.5459561,-2.098842144012451
41,right,S.Call.,17,1.5096405,-1.4874521,-1.5928037,-3.144976,-2.8501206636428833
41,right,Fissure_Parieto_Occipitale,18,1.273094,-1.2082864,-1.360468,-2.286932,-2.044578969478607
41,right,Sillon_Olfactif,19,1.7637614,-1.7537706,-1.8486693,-3.0663865,-2.8106935620307922
41,right,S.Or.,20,1.1166507,-1.0246016,-1.071567,-2.506875,-2.249519920349121
41,right,S.O.T.Lat.,21,1.5039281,-1.3840139,-1.547804,-2.8452978,-2.6610307931900024
41,right,S.C.LPC.,22,0.8765267,-0.72595507,-0.82913053,-1.707575,-1.631351613998413
41,right,S.F.int.,23,1.0736138,-0.96941966,-0.952816,-2.4969933,-2.323339104652405
41,right,S.F.marginal,24,1.2773594,-1.2123411,-1.3205826,-2.3053374,-2.1353115677833556
41,right,S.F.Orbitaire,25,1.0067106,-1.0067106,-1.0444272,-1.3159045,-1.2586134433746339
41,right,S.Rh.,26,0.91150707,-0.8594804,-0.884758,-1.8526028,-1.7558926343917847
41,right,F.I.P.sup.,27,1.0787394,-0.8655342,-0.9455329,-2.5837908,-2.288587141036987
41,right,S.Pa.sup.,28,0.82119,-0.6179251,-0.80665225,-1.6241014,-1.4774178504943847
