Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
38,left,Sillon_Central,2,1.4863088,-1.4802818,-1.521196,-2.7919545,-2.471697199344635
38,left,Sillon_Temporal_superieur,3,1.3062549,-1.2878656,-1.3219768,-2.6239684,-2.3609562873840333
38,left,S.Pe.C.inf.,4,1.3134193,-1.2232718,-1.3237134,-2.7964678,-2.383794128894806
38,left,S.Pe.C.sup.,5,1.3158737,-1.2940104,-1.2914475,-2.722042,-2.4453063011169434
38,left,S.Po.C.,6,1.1775316,-1.1134584,-1.1063373,-2.8569577,-2.5540173649787903
38,left,Fissure_Intra_Parietale,7,1.3898418,-1.3853726,-1.3413339,-2.861246,-2.68195835351944
38,left,Sillon_Frontal_superieur,8,1.2983761,-1.280141,-1.3069512,-2.7171454,-2.4300150156021116
38,left,Sillon_Frontal_inferieur,9,1.1212527,-1.0985224,-1.2031631,-2.0419285,-1.879148155450821
38,left,S.T.i.,10,0.6502001,-0.49580958,-0.5225901,-1.7875625,-1.4010079145431518
38,left,F.C.M.,11,1.374858,-1.2854095,-1.3939705,-2.8284311,-2.50433212518692
38,left,Fissure_Calcarine.,12,1.3756226,-1.3202822,-1.485134,-2.6921957,-2.482805681228638
38,left,S.F.int.,13,0.6653641,-0.56498444,-0.6253184,-1.7996169,-1.401076078414917
38,left,S.R.inf,14,0.95301604,-0.87323666,-0.913583,-1.9262718,-1.871701955795288
38,left,F.Coll.,15,1.4627631,-1.405414,-1.5371884,-2.8954635,-2.5803690910339356
38,left,S.S.p.,16,1.0734395,-1.0001347,-1.0028927,-2.536941,-2.1700901985168457
38,left,S.Call.,17,1.494386,-1.4119792,-1.5002393,-3.1144638,-2.843629312515259
38,left,Fissure_Parieto_Occipitale,18,1.2624161,-1.2447629,-1.3584265,-2.438133,-2.17901349067688
38,left,Sillon_Olfactif,19,1.6725124,-1.6725124,-1.764745,-2.904442,-2.730127954483032
38,left,S.Or.,20,0.9487262,-0.93627053,-0.9529874,-2.026801,-1.9142307341098785
38,left,S.O.T.Lat.,21,1.1956056,-1.087821,-1.23038,-2.6417515,-2.381933033466339
38,left,S.C.LPC.,22,0.56178725,-0.5249843,-0.5421209,-1.0697606,-0.9875206470489502
38,left,S.F.int.,23,1.0761099,-1.0481523,-0.9861351,-2.4433076,-2.22414231300354
38,left,S.F.marginal,24,1.0033268,-0.9722035,-1.0250705,-1.8155063,-1.7513441741466522
38,left,S.F.Orbitaire,25,0.96101475,-0.96101475,-0.9897772,-1.5910052,-1.5097254931926727
38,left,S.Rh.,26,0.75895774,-0.420107,-0.3818036,-1.7567767,-1.7081497669219972
38,left,F.I.P.sup.,27,1.1716714,-1.1287507,-1.0665408,-2.6513019,-2.496041774749756
38,left,S.Pa.sup.,28,0.7822385,-0.67952764,-0.7295324,-1.5977848,-1.5266864717006683
