Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
34,right,Sillon_Central,2,1.379276,-1.3234259,-1.4341075,-2.4809787,-2.2536486625671386
34,right,Sillon_Temporal_superieur,3,1.060919,-0.9936901,-1.032552,-2.4945827,-2.1061981081962586
34,right,S.Pe.C.inf.,4,1.0279658,-0.9436815,-1.0264053,-2.4192917,-2.0935303568840027
34,right,S.Pe.C.sup.,5,0.85649484,-0.66914815,-0.6214819,-2.317431,-2.028977870941162
34,right,S.Po.C.,6,1.0222051,-0.8323473,-0.91886085,-2.3372848,-2.120079052448273
34,right,Fissure_Intra_Parietale,7,0.7543612,-0.5009444,-0.52978414,-1.8720707,-1.6734452962875366
34,right,Sillon_Frontal_superieur,8,0.998104,-0.93510437,-1.0109594,-2.1343513,-1.912734818458557
34,right,Sillon_Frontal_inferieur,9,0.94281924,-0.8322893,-0.9070445,-2.2038283,-1.8377848267555237
34,right,S.T.i.,10,0.418729,-0.18089601,-0.1761004,-1.1612823,-0.9754595100879669
34,right,F.C.M.,11,1.1134517,-0.9831314,-1.0569847,-2.3918233,-2.1532859325408937
34,right,Fissure_Calcarine.,12,1.2472161,-1.1707656,-1.2829952,-2.5144,-2.2657162070274355
34,right,S.F.int.,13,0.38220003,-0.28946105,-0.36266235,-0.9338653,-0.7677282750606537
34,right,S.R.inf,14,0.4217152,-0.27112973,-0.22478692,-1.242944,-1.0741647839546205
34,right,F.Coll.,15,1.0162654,-0.63327765,-0.6105987,-2.5584116,-2.338740110397339
34,right,S.S.p.,16,0.6467197,-0.19168457,-0.32583335,-1.6590934,-1.3615868091583252
34,right,S.Call.,17,1.0595086,-0.64371324,-0.82444096,-2.4257455,-2.0398250222206116
34,right,Fissure_Parieto_Occipitale,18,1.0874976,-1.0405403,-1.1486497,-1.9987437,-1.8533983111381531
34,right,Sillon_Olfactif,19,1.2917243,-1.2232258,-1.3297187,-2.5877059,-2.402463674545288
34,right,S.Or.,20,0.6495214,-0.40353242,-0.3720692,-1.6783355,-1.4602367758750916
34,right,S.O.T.Lat.,21,0.83517176,-0.7341587,-0.68122685,-2.226954,-2.0421165823936462
34,right,S.C.LPC.,22,0.51924974,-0.42549723,-0.35144413,-1.0875131,-1.012106466293335
34,right,S.F.int.,23,0.69286126,-0.6167302,-0.57991683,-1.7150892,-1.5480759143829346
34,right,S.F.marginal,24,0.68182534,-0.4529752,-0.5914377,-1.5383707,-1.391045606136322
34,right,S.F.Orbitaire,25,0.54010254,-0.54010254,-0.546385,-0.6313634,-0.6263886064291
34,right,S.Rh.,26,0.46832576,-0.14453283,-0.16370733,-0.9734738,-0.9250407963991165
34,right,F.I.P.sup.,27,0.7941251,-0.7172292,-0.7309888,-1.8576753,-1.6582916736602782
34,right,S.Pa.sup.,28,0.47556996,-0.16567092,-0.22695537,-0.9153639,-0.8503515720367432
