Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
32,left,Sillon_Central,2,4.017436,-3.5981946,-4.324175,-7.235161,-6.517423748970032
32,left,Sillon_Temporal_superieur,3,2.5124538,-1.4788733,-2.1634502,-4.749662,-4.250547456741333
32,left,S.Pe.C.inf.,4,2.3138084,-2.2010875,-2.2359881,-5.627804,-5.073146009445191
32,left,S.Pe.C.sup.,5,1.7126148,-0.15262735,-0.019047312,-4.3707347,-3.5184586524963377
32,left,S.Po.C.,6,1.7797759,-0.79243,-0.9787821,-4.586905,-3.9467836022377014
32,left,Fissure_Intra_Parietale,7,1.6330446,-1.1746186,-1.3260114,-3.7104008,-3.4390363693237305
32,left,Sillon_Frontal_superieur,8,1.7606655,-0.93891275,-1.3507301,-4.4591694,-3.42552592754364
32,left,Sillon_Frontal_inferieur,9,1.7500824,-1.5779681,-1.6408825,-4.810717,-3.567500555515289
32,left,S.T.i.,10,2.4718354,2.4436457,1.5617694,-0.5167604,0.049355105310678486
32,left,F.C.M.,11,3.8366246,-3.7382975,-4.0512385,-7.377722,-6.715224027633667
32,left,Fissure_Calcarine.,12,5.649562,-5.597137,-5.882889,-9.781797,-9.05913143157959
32,left,S.F.int.,13,0.918972,0.7760972,0.6587313,-0.99756885,-0.5414882898330688
32,left,S.R.inf,14,1.5340396,1.3863552,1.1986642,-0.80682546,-0.5516338646411896
32,left,F.Coll.,15,2.9108474,-2.6907365,-2.9761972,-5.960034,-5.438691902160644
32,left,S.S.p.,16,1.6297823,-0.90889335,-1.3253162,-3.2160866,-2.877243161201477
32,left,S.Call.,17,2.9874086,-2.9874086,-3.134697,-5.552647,-4.363969516754151
32,left,Fissure_Parieto_Occipitale,18,3.6932025,-3.5801218,-3.693821,-7.1042895,-6.7751500606536865
32,left,Sillon_Olfactif,19,1.6651194,1.1993194,1.0047644,-1.3530288,-1.1473201990127564
32,left,S.Or.,20,1.2994236,0.87840474,0.45093885,-1.218077,-1.0300894975662231
32,left,S.O.T.Lat.,21,0.975714,-0.5004727,-0.5539456,-2.871608,-2.4109644293785095
32,left,S.C.LPC.,22,1.3370733,1.3370733,1.2861623,0.6455771,0.704151701927185
32,left,S.F.int.,23,0.6597127,-0.34585056,-0.49237415,-1.3985004,-1.2086113691329956
32,left,S.F.marginal,24,2.3888886,2.3888886,2.0680375,0.56144595,0.7874800115823746
32,left,S.F.Orbitaire,25,2.2595122,2.2595122,2.1868694,1.7497251,1.7874216258525848
32,left,S.Rh.,26,3.1128986,3.1128986,3.1253808,1.3098456,1.545046901702881
32,left,F.I.P.sup.,27,2.8764393,-2.4370282,-2.8266394,-5.171197,-4.925709629058838
32,left,S.Pa.sup.,28,3.3422122,3.3422122,3.2149148,2.8182044,2.8725746035575868
