Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
31,right,Sillon_Central,2,3.0714035,-2.795483,-3.2064285,-5.272017,-4.844823741912842
31,right,Sillon_Temporal_superieur,3,2.0498126,-1.8737903,-1.850523,-4.9754596,-4.226381063461304
31,right,S.Pe.C.inf.,4,1.8933367,-1.5314034,-1.7350484,-4.6885185,-4.037606239318848
31,right,S.Pe.C.sup.,5,1.4250442,-0.7936909,-0.41282412,-4.3332553,-3.711266040802002
31,right,S.Po.C.,6,1.9982448,-1.1832887,-1.2868829,-4.596292,-4.051058721542359
31,right,Fissure_Intra_Parietale,7,1.3624444,-0.7426185,-0.78441286,-3.4678965,-3.0454524755477905
31,right,Sillon_Frontal_superieur,8,1.548083,-1.2594078,-1.4326273,-3.6481025,-3.1666746020317076
31,right,Sillon_Frontal_inferieur,9,1.5817165,-1.3382276,-1.5023856,-4.5946007,-3.267080008983612
31,right,S.T.i.,10,0.6229022,-0.12655865,-0.017882545,-1.9364351,-1.5486277341842651
31,right,F.C.M.,11,1.843329,-1.1619366,-0.8891156,-4.783549,-4.372395253181457
31,right,Fissure_Calcarine.,12,2.7719593,-2.59972,-2.8575659,-5.557999,-5.0144202709198
31,right,S.F.int.,13,0.8338948,-0.5706858,-0.40247387,-2.5811837,-2.268961989879608
31,right,S.R.inf,14,0.6378644,-0.31625983,-0.29155594,-1.703097,-1.4714819192886353
31,right,F.Coll.,15,1.90366,-1.3680139,-1.1755314,-5.079495,-4.580784130096435
31,right,S.S.p.,16,0.970668,0.1237532,0.11165783,-2.3383946,-2.0295239686965942
31,right,S.Call.,17,1.4837517,-0.03435473,0.29603973,-4.8997474,-3.593601882457733
31,right,Fissure_Parieto_Occipitale,18,2.2313855,-2.0291731,-2.1762056,-4.4678636,-4.1674333095550535
31,right,Sillon_Olfactif,19,2.2425342,-2.021177,-2.1810431,-5.070988,-4.613350868225098
31,right,S.Or.,20,1.1095804,-0.39463407,-0.49655947,-2.9360826,-2.545014500617981
31,right,S.O.T.Lat.,21,1.3642074,-1.0611728,-0.85756105,-4.3271637,-3.8245058059692383
31,right,S.C.LPC.,22,0.8992451,0.4421276,0.48280653,-1.2542638,-1.0768341541290283
31,right,S.F.int.,23,1.064952,-0.91198486,-0.9620336,-2.3192754,-2.099769115447998
31,right,S.F.marginal,24,0.96224403,-0.45775324,-0.5967213,-2.2698534,-1.9479636609554292
31,right,S.F.Orbitaire,25,0.5693326,-0.5693326,-0.6114084,-0.7545948,-0.7094579130411148
31,right,S.Rh.,26,0.86231345,0.0676716,-0.022002652,-1.3929944,-1.296241044998169
31,right,F.I.P.sup.,27,1.3162093,-0.9657832,-0.9135596,-3.7512875,-2.9813473224639893
31,right,S.Pa.sup.,28,0.7445263,0.38924682,0.30893227,-1.0296551,-0.8772921323776245
