Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
41,left,Sillon_Central,2,4.173299,-4.057382,-4.2451735,-8.826143,-7.6603845119476315
41,left,Sillon_Temporal_superieur,3,3.4486039,-3.0925272,-3.3136902,-7.164456,-6.434963274002075
41,left,S.Pe.C.inf.,4,3.4004896,-3.339205,-3.3319054,-7.5123386,-6.726993894577026
41,left,S.Pe.C.sup.,5,2.9310842,-2.5122883,-2.3404012,-7.3716416,-6.532400894165039
41,left,S.Po.C.,6,3.0277665,-2.636108,-2.9980993,-6.838104,-6.2365336418151855
41,left,Fissure_Intra_Parietale,7,4.0258465,-4.005959,-3.9492733,-7.6159143,-7.094983100891113
41,left,Sillon_Frontal_superieur,8,3.3078516,-3.0392714,-3.2612782,-6.7145524,-5.678848838806152
41,left,Sillon_Frontal_inferieur,9,2.1569996,-2.114549,-2.1754735,-5.0640044,-4.258344125747681
41,left,S.T.i.,10,1.1908342,0.75497603,0.38495797,-1.4753778,-1.1033056378364563
41,left,F.C.M.,11,4.4091463,-4.350931,-4.65777,-9.2408085,-7.931743431091308
41,left,Fissure_Calcarine.,12,5.0885887,-5.080949,-4.9255476,-10.198052,-9.199653053283692
41,left,S.F.int.,13,0.72109586,0.12072417,0.07049954,-1.8722596,-1.2874345779418945
41,left,S.R.inf,14,1.4000081,-0.17014392,-0.34564692,-2.748181,-2.4766812324523926
41,left,F.Coll.,15,4.1171827,-4.114955,-4.121536,-7.4452343,-6.750445604324341
41,left,S.S.p.,16,2.6135464,-1.9989165,-2.2770903,-5.909283,-5.320704388618469
41,left,S.Call.,17,2.0281065,-2.0279713,-1.9321585,-4.539774,-4.039406776428223
41,left,Fissure_Parieto_Occipitale,18,3.7196016,-3.6022282,-3.6234827,-7.7350073,-7.199377059936523
41,left,Sillon_Olfactif,19,1.3010745,-0.6214007,-0.73464775,-2.9811494,-2.6568227767944337
41,left,S.Or.,20,2.0506485,-1.5299466,-1.7089236,-4.837108,-4.375569629669189
41,left,S.O.T.Lat.,21,2.1820123,-2.096934,-2.1288018,-5.2962236,-4.745885729789734
41,left,S.C.LPC.,22,1.5776495,1.5776495,1.4706671,0.53230333,0.694608211517334
41,left,S.F.int.,23,1.9485128,-1.8687162,-1.7876737,-4.3646536,-4.020013689994812
41,left,S.F.marginal,24,1.8086426,-0.57770854,-1.0977728,-3.4956276,-3.2098992466926575
41,left,S.F.Orbitaire,25,0.7863742,0.7253137,0.6291517,-0.3039628,-0.1829277940094471
41,left,S.Rh.,26,1.3378053,1.3192611,1.045583,-0.18189487,-0.06652324572205544
41,left,F.I.P.sup.,27,3.6908088,-3.5270803,-3.4624252,-7.429522,-6.781780624389649
41,left,S.Pa.sup.,28,2.085269,2.085269,2.0480473,0.964724,1.0459318220615388
