Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
43,left,Sillon_Central,2,2.8428974,-2.8333929,-2.8963366,-5.58354,-4.8846864938735965
43,left,Sillon_Temporal_superieur,3,2.663105,-2.596761,-2.5891137,-5.5050125,-4.948900175094605
43,left,S.Pe.C.inf.,4,2.7718277,-2.7097309,-2.8459692,-5.6748276,-4.8892951011657715
43,left,S.Pe.C.sup.,5,2.787025,-2.781463,-2.7083426,-5.7006965,-4.977769470214843
43,left,S.Po.C.,6,2.578753,-2.5516503,-2.4050927,-5.8413477,-5.127514958381653
43,left,Fissure_Intra_Parietale,7,2.873232,-2.8537228,-2.795366,-5.838609,-5.396191811561584
43,left,Sillon_Frontal_superieur,8,2.6920745,-2.5295854,-2.5594473,-5.548181,-5.250975322723389
43,left,Sillon_Frontal_inferieur,9,2.4320927,-2.4227228,-2.4926686,-4.8796616,-4.2465681552886965
43,left,S.T.i.,10,1.975514,-1.848017,-1.8712599,-4.515897,-3.901441216468811
43,left,F.C.M.,11,2.8480449,-2.7486563,-2.9172869,-5.7516365,-5.098541998863221
43,left,Fissure_Calcarine.,12,2.7191806,-2.6848333,-2.8610036,-5.0680056,-4.733481979370117
43,left,S.F.int.,13,1.6551728,-1.5927924,-1.6879745,-3.8706644,-3.2891764640808105
43,left,S.R.inf,14,2.4150598,-2.3838735,-2.5593715,-4.444883,-4.268247127532959
43,left,F.Coll.,15,2.9510126,-2.9294548,-3.0160787,-5.630655,-5.0204791069030765
43,left,S.S.p.,16,2.4434211,-2.3296716,-2.3127122,-5.4243045,-4.6686584711074826
43,left,S.Call.,17,3.0536387,-3.010905,-3.0948153,-6.297396,-5.662431240081787
43,left,Fissure_Parieto_Occipitale,18,2.4604454,-2.4600961,-2.6104465,-4.7134233,-4.283570289611816
43,left,Sillon_Olfactif,19,3.363897,-3.3629253,-3.2405272,-5.6971707,-5.305160427093506
43,left,S.Or.,20,2.378792,-2.3462234,-2.5223804,-4.3996253,-4.215356683731079
43,left,S.O.T.Lat.,21,2.6556273,-2.6069536,-2.6715705,-5.6034303,-5.021443009376526
43,left,S.C.LPC.,22,0.7283182,-0.48647568,-0.47242388,-1.7609856,-1.6900272846221924
43,left,S.F.int.,23,2.382879,-2.1597881,-2.1315713,-4.8755794,-4.6084147691726685
43,left,S.F.marginal,24,2.4497173,-2.3977215,-2.502341,-5.106809,-4.484143853187561
43,left,S.F.Orbitaire,25,2.2059865,-2.178946,-2.3701916,-3.7863736,-3.6950838208198546
43,left,S.Rh.,26,2.2638109,-2.2638109,-2.2597117,-3.9811678,-3.869117832183838
43,left,F.I.P.sup.,27,2.4901652,-2.3395345,-2.2967217,-5.470727,-5.008810901641846
43,left,S.Pa.sup.,28,2.4345813,-2.3864083,-2.7679787,-4.3738203,-4.144872617721558
