Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
41,left,Sillon_Central,2,1.5233332,-1.5138143,-1.5391749,-2.9481332,-2.586519408226013
41,left,Sillon_Temporal_superieur,3,1.3814657,-1.3276645,-1.369122,-2.8683395,-2.612365412712097
41,left,S.Pe.C.inf.,4,1.4079367,-1.371938,-1.4675288,-2.9455316,-2.4997169971466064
41,left,S.Pe.C.sup.,5,1.3867476,-1.3821138,-1.3593975,-3.0336888,-2.591958999633789
41,left,S.Po.C.,6,1.3576853,-1.3456842,-1.3008672,-2.907362,-2.5855714678764343
41,left,Fissure_Intra_Parietale,7,1.5538071,-1.5379498,-1.5047598,-3.0729034,-2.846323788166046
41,left,Sillon_Frontal_superieur,8,1.416347,-1.4119045,-1.4183465,-2.8229165,-2.644717979431152
41,left,Sillon_Frontal_inferieur,9,1.1810675,-1.1654408,-1.280432,-2.3932724,-2.040129292011261
41,left,S.T.i.,10,0.8812877,-0.7440997,-0.83560103,-2.0336,-1.7352720975875855
41,left,F.C.M.,11,1.4752525,-1.3707095,-1.5082726,-3.0064704,-2.675881588459015
41,left,Fissure_Calcarine.,12,1.4620802,-1.438642,-1.5191947,-2.7771451,-2.5819669723510743
41,left,S.F.int.,13,0.75951,-0.7113153,-0.74476546,-1.8830845,-1.3835813403129578
41,left,S.R.inf,14,1.1843202,-1.1294618,-1.2886063,-2.299861,-2.218157172203064
41,left,F.Coll.,15,1.5697845,-1.5417763,-1.62027,-3.0517063,-2.7111099481582643
41,left,S.S.p.,16,1.204379,-1.1382449,-1.178025,-2.7210848,-2.3684464931488036
41,left,S.Call.,17,1.741463,-1.7259334,-1.7677056,-3.3834121,-3.1785017967224123
41,left,Fissure_Parieto_Occipitale,18,1.3150367,-1.305144,-1.4218435,-2.3971307,-2.212691307067871
41,left,Sillon_Olfactif,19,1.8087327,-1.8087327,-1.8852652,-3.045673,-2.8677194595336912
41,left,S.Or.,20,1.0985509,-1.0826383,-1.1309069,-2.2393498,-2.1181177139282226
41,left,S.O.T.Lat.,21,1.3502126,-1.194415,-1.36327,-2.8861256,-2.5861310958862305
41,left,S.C.LPC.,22,0.7424036,-0.7314512,-0.7138416,-1.3487747,-1.302974271774292
41,left,S.F.int.,23,1.1772217,-1.1138607,-1.180541,-2.5072649,-2.31615948677063
41,left,S.F.marginal,24,1.1955165,-1.1323429,-1.201884,-2.4959261,-2.270876884460449
41,left,S.F.Orbitaire,25,1.2153116,-1.2153116,-1.314332,-1.7785084,-1.750336879491806
41,left,S.Rh.,26,1.0981213,-1.0287098,-1.2194554,-2.1524303,-2.097276782989502
41,left,F.I.P.sup.,27,1.3429872,-1.3226098,-1.3263892,-2.9866416,-2.727678346633911
41,left,S.Pa.sup.,28,0.718181,-0.581864,-0.5317162,-1.8121552,-1.669456785917282
