Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
34,right,Sillon_Central,2,3.0038638,-2.8822303,-3.1232793,-5.4032135,-4.908121585845947
34,right,Sillon_Temporal_superieur,3,2.3105288,-2.1641135,-2.2487493,-5.432841,-4.586995387077332
34,right,S.Pe.C.inf.,4,2.238761,-2.055202,-2.2353625,-5.268868,-4.559406757354736
34,right,S.Pe.C.sup.,5,1.8653221,-1.457308,-1.353498,-5.04703,-4.418821096420288
34,right,S.Po.C.,6,2.2262151,-1.8127323,-2.0011463,-5.090269,-4.6172261238098145
34,right,Fissure_Intra_Parietale,7,1.6428896,-1.0909846,-1.1537933,-4.0771,-3.6445223331451415
34,right,Sillon_Frontal_superieur,8,2.1737263,-2.0365224,-2.2017236,-4.6483088,-4.165660285949707
34,right,Sillon_Frontal_inferieur,9,2.0533242,-1.8126059,-1.9754119,-4.79962,-4.002430081367493
34,right,S.T.i.,10,0.91193134,-0.3939654,-0.38352126,-2.5291052,-2.1244099736213684
34,right,F.C.M.,11,2.4249372,-2.1411185,-2.30196,-5.209046,-4.689546084403991
34,right,Fissure_Calcarine.,12,2.7162569,-2.549759,-2.7941785,-5.4760003,-4.934402704238892
34,right,S.F.int.,13,0.83237654,-0.6304045,-0.7898263,-2.033824,-1.6720014452934264
34,right,S.R.inf,14,0.9184349,-0.5904815,-0.48955345,-2.7069528,-2.339375936985016
34,right,F.Coll.,15,2.2132795,-1.3791873,-1.3297957,-5.5718513,-5.093438529968262
34,right,S.S.p.,16,1.4084622,-0.41746134,-0.709618,-3.613266,-2.9653395414352417
34,right,S.Call.,17,2.3074563,-1.4019144,-1.7955134,-5.2829237,-4.442444324493408
34,right,Fissure_Parieto_Occipitale,18,2.3684127,-2.2661464,-2.5015934,-4.3529754,-4.036434030532837
34,right,Sillon_Olfactif,19,2.813189,-2.6640089,-2.8959353,-5.63565,-5.232219219207764
34,right,S.Or.,20,1.4145638,-0.87883544,-0.81031305,-3.6551726,-3.1801848888397215
34,right,S.O.T.Lat.,21,1.8188838,-1.5988917,-1.4836138,-4.8499846,-4.44743504524231
34,right,S.C.LPC.,22,1.1308509,-0.9266714,-0.7653946,-2.3684464,-2.204221773147583
34,right,S.F.int.,23,1.5089519,-1.3431495,-1.2629751,-3.7352166,-3.371485948562622
34,right,S.F.marginal,24,1.4849172,-0.98651457,-1.2880659,-3.3503494,-3.0294965267181397
34,right,S.F.Orbitaire,25,1.1762656,-1.1762656,-1.1899476,-1.3750184,-1.3641839861869811
34,right,S.Rh.,26,1.0199459,-0.31477168,-0.35653096,-2.1200855,-2.0146053433418274
34,right,F.I.P.sup.,27,1.7294897,-1.5620216,-1.5919881,-4.0457487,-3.6115200042724607
34,right,S.Pa.sup.,28,1.0357227,-0.36080736,-0.49427602,-1.9935305,-1.8519429683685302
