Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
40,right,Sillon_Central,2,1.5047822,-1.4954621,-1.5598602,-2.8366973,-2.583896112442017
40,right,Sillon_Temporal_superieur,3,1.30967,-1.276686,-1.3000011,-2.715523,-2.478470480442047
40,right,S.Pe.C.inf.,4,1.3904276,-1.3281498,-1.4779301,-2.8126886,-2.409804880619049
40,right,S.Pe.C.sup.,5,1.2928853,-1.2449161,-1.2584062,-2.865244,-2.527625262737274
40,right,S.Po.C.,6,1.2662156,-1.2402334,-1.2443445,-2.925713,-2.6098560452461244
40,right,Fissure_Intra_Parietale,7,1.140346,-1.0366074,-1.0212237,-2.7655442,-2.4613434076309204
40,right,Sillon_Frontal_superieur,8,1.2421007,-1.1493365,-1.216382,-2.6053474,-2.393519639968872
40,right,Sillon_Frontal_inferieur,9,1.0943958,-1.0030123,-1.0002394,-2.3974018,-2.2765824794769287
40,right,S.T.i.,10,0.8020317,-0.7067986,-0.77674544,-1.9438932,-1.6501402974128723
40,right,F.C.M.,11,1.4871418,-1.4689364,-1.5346473,-2.8787465,-2.5447167277336122
40,right,Fissure_Calcarine.,12,1.2949989,-1.2332218,-1.2845991,-2.7924526,-2.543550443649292
40,right,S.F.int.,13,0.61502135,-0.522272,-0.5166849,-1.7971066,-1.3698000848293304
40,right,S.R.inf,14,0.8058513,-0.77243364,-0.72351843,-1.9394568,-1.7738031685352325
40,right,F.Coll.,15,1.4405483,-1.2661146,-1.4203446,-2.9861507,-2.770639657974243
40,right,S.S.p.,16,1.0817004,-1.0024766,-1.0552193,-2.4098115,-2.0015109181404114
40,right,S.Call.,17,1.3052572,-1.2382048,-1.3611308,-3.1119442,-2.543831467628479
40,right,Fissure_Parieto_Occipitale,18,1.226877,-1.202515,-1.3161082,-2.1629686,-2.0011186003684998
40,right,Sillon_Olfactif,19,1.7135612,-1.708516,-1.7295952,-2.956053,-2.7808907628059387
40,right,S.Or.,20,1.0251844,-0.97760934,-0.99290735,-2.355617,-2.1234883069992065
40,right,S.O.T.Lat.,21,1.2894269,-1.2219145,-1.3096304,-2.7015214,-2.467558240890503
40,right,S.C.LPC.,22,0.8031934,-0.7798807,-0.9631357,-1.3425401,-1.2827458143234254
40,right,S.F.int.,23,1.0537575,-0.81805277,-0.7986354,-2.4787872,-2.235400080680847
40,right,S.F.marginal,24,1.1107187,-0.9695296,-1.1810284,-2.1128294,-1.9433633983135223
40,right,S.F.Orbitaire,25,0.86966425,-0.86966425,-0.92434573,-1.0833406,-1.0591458082199097
40,right,S.Rh.,26,0.82967836,-0.70150274,-0.679159,-1.7110988,-1.6085393130779266
40,right,F.I.P.sup.,27,1.0097325,-0.7975856,-0.8818891,-2.4659817,-2.0964333534240724
40,right,S.Pa.sup.,28,0.50268865,-0.017943155,-0.18539901,-0.8955859,-0.7930424571037292
