Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
43,right,Sillon_Central,2,1.5534662,-1.5513636,-1.6057314,-2.8990176,-2.605404853820801
43,right,Sillon_Temporal_superieur,3,1.4436576,-1.4223698,-1.3943255,-3.0923007,-2.7547432661056517
43,right,S.Pe.C.inf.,4,1.4900945,-1.4790771,-1.4930899,-2.9936357,-2.758356988430023
43,right,S.Pe.C.sup.,5,1.4570887,-1.4403965,-1.4521415,-3.0170062,-2.714210093021393
43,right,S.Po.C.,6,1.3717145,-1.3188883,-1.3863106,-2.986721,-2.596027207374573
43,right,Fissure_Intra_Parietale,7,1.4114583,-1.3302746,-1.3142648,-3.0396123,-2.8562360763549806
43,right,Sillon_Frontal_superieur,8,1.4645135,-1.4160326,-1.3897498,-2.9689236,-2.7746384739875793
43,right,Sillon_Frontal_inferieur,9,1.2309521,-1.1028076,-1.2292202,-2.4698114,-2.2602216005325317
43,right,S.T.i.,10,1.1387277,-1.1321672,-1.1537231,-2.3052816,-1.9062836229801179
43,right,F.C.M.,11,1.5487236,-1.5247928,-1.5992486,-3.0268044,-2.679605555534363
43,right,Fissure_Calcarine.,12,1.4172945,-1.4030823,-1.4398899,-2.9054782,-2.5519832968711853
43,right,S.F.int.,13,0.85925114,-0.8480793,-0.8209584,-2.0906608,-1.7656847059726715
43,right,S.R.inf,14,0.8969337,-0.7850934,-0.784129,-1.9688681,-1.9268802642822265
43,right,F.Coll.,15,1.5951828,-1.5296605,-1.5647044,-3.1101017,-2.9201197147369387
43,right,S.S.p.,16,1.239926,-1.2374071,-1.1759111,-2.879001,-2.4535768032073975
43,right,S.Call.,17,1.3782051,-1.3510183,-1.4085706,-3.304649,-2.4633960127830505
43,right,Fissure_Parieto_Occipitale,18,1.31876,-1.2969276,-1.381182,-2.3466594,-2.2084390759468078
43,right,Sillon_Olfactif,19,1.7991272,-1.7979581,-1.8443005,-3.0992935,-2.8937153220176697
43,right,S.Or.,20,1.19302,-1.1500834,-1.0353649,-2.6594687,-2.4320841312408445
43,right,S.O.T.Lat.,21,1.4555812,-1.447704,-1.4236255,-2.9739513,-2.7316038846969604
43,right,S.C.LPC.,22,0.54299796,-0.20405379,0.020632327,-1.440299,-1.2458266496658326
43,right,S.F.int.,23,1.3244358,-1.2633113,-1.3480964,-2.6628938,-2.5413044691085815
43,right,S.F.marginal,24,1.3006775,-1.2741464,-1.309108,-2.5904665,-2.3448314905166625
43,right,S.F.Orbitaire,25,0.3450303,-0.06228161,-0.087224066,-0.6619056,-0.633095720410347
43,right,S.Rh.,26,0.95227623,-0.8984917,-1.0018865,-1.9436618,-1.8428803086280823
43,right,F.I.P.sup.,27,1.1302298,-1.0398499,-1.104149,-2.622233,-2.206254005432129
43,right,S.Pa.sup.,28,0.98505527,-0.9823392,-0.9428749,-1.7276825,-1.684931755065918
