subject,sessions,alphas,std_crest_dpf
CC00735XX18,222201,0.0,0.2378197191735235
CC00735XX18,222201,0.0001,0.23491364244415414
CC00735XX18,222201,0.0005,0.22504597783856684
CC00735XX18,222201,0.001,0.21329824001329364
CC00735XX18,222201,0.003,0.18792542452475078
CC00735XX18,222201,0.005,0.17424944032186668
CC00735XX18,222201,0.01,0.1551218675018439
CC00735XX18,222201,0.03,0.13633142315157898
CC00735XX18,222201,0.05,0.13168945728419232
CC00735XX18,222201,0.5,0.13378878170735226
CC00672AN13,197601,0.0,0.24440395755218752
CC00672AN13,197601,0.0001,0.24063329476688874
CC00672AN13,197601,0.0005,0.2313683496529364
CC00672AN13,197601,0.001,0.2246563437475962
CC00672AN13,197601,0.003,0.20995726913105045
CC00672AN13,197601,0.005,0.19614415290004794
CC00672AN13,197601,0.01,0.1757910623884426
CC00672AN13,197601,0.03,0.1421829583238053
CC00672AN13,197601,0.05,0.1301908792957567
CC00672AN13,197601,0.5,0.1378141623424752
CC00672BN13,200000,0.0,0.22453318769321326
CC00672BN13,200000,0.0001,0.2226205042517257
CC00672BN13,200000,0.0005,0.21651577401737138
CC00672BN13,200000,0.001,0.2113894676082752
CC00672BN13,200000,0.003,0.18914826173187654
CC00672BN13,200000,0.005,0.176828364595608
CC00672BN13,200000,0.01,0.1649466638933516
CC00672BN13,200000,0.03,0.1530255313766444
CC00672BN13,200000,0.05,0.1489141636962458
CC00672BN13,200000,0.5,0.13592531304199526
CC00621XX11,177900,0.0,0.23199846676848526
CC00621XX11,177900,0.0001,0.22883697426022154
CC00621XX11,177900,0.0005,0.2143557009072451
CC00621XX11,177900,0.001,0.20062442356491464
CC00621XX11,177900,0.003,0.1665912984944929
CC00621XX11,177900,0.005,0.15051504410520794
CC00621XX11,177900,0.01,0.13103342864033898
CC00621XX11,177900,0.03,0.1126371625945762
CC00621XX11,177900,0.05,0.10803734453232472
CC00621XX11,177900,0.5,0.11510881626293379
CC00829XX21,17610,0.0,0.23539001293499906
CC00829XX21,17610,0.0001,0.23033412864910702
CC00829XX21,17610,0.0005,0.21655146196873243
CC00829XX21,17610,0.001,0.2052408952934411
CC00829XX21,17610,0.003,0.1789812175563964
CC00829XX21,17610,0.005,0.16568685072566966
CC00829XX21,17610,0.01,0.14895200752700272
CC00829XX21,17610,0.03,0.12502194228708768
CC00829XX21,17610,0.05,0.11765898740994178
CC00829XX21,17610,0.5,0.11581573962074682
CC00617XX15,176500,0.0,0.18790981306543023
CC00617XX15,176500,0.0001,0.18636444829074708
CC00617XX15,176500,0.0005,0.18053913633673838
CC00617XX15,176500,0.001,0.1755080834322139
CC00617XX15,176500,0.003,0.16448941956152033
CC00617XX15,176500,0.005,0.1569790301225201
CC00617XX15,176500,0.01,0.14125937310840403
CC00617XX15,176500,0.03,0.11317772055995272
CC00617XX15,176500,0.05,0.10575990187849395
CC00617XX15,176500,0.5,0.11834502059216422
CC00712XX11,221400,0.0,0.2068148071396986
CC00712XX11,221400,0.0001,0.20234655090603512
CC00712XX11,221400,0.0005,0.19000465870555244
CC00712XX11,221400,0.001,0.1806656938950196
CC00712XX11,221400,0.003,0.1595917240468939
CC00712XX11,221400,0.005,0.14994798273385712
CC00712XX11,221400,0.01,0.13607130995366007
CC00712XX11,221400,0.03,0.1143460968137055
CC00712XX11,221400,0.05,0.10637468039971963
CC00712XX11,221400,0.5,0.09388421374462019
CC00385XX15,118500,0.0,0.2378488378925443
CC00385XX15,118500,0.0001,0.22869241292355696
CC00385XX15,118500,0.0005,0.20749234042247652
CC00385XX15,118500,0.001,0.18934779418245362
CC00385XX15,118500,0.003,0.1578094256374171
CC00385XX15,118500,0.005,0.14472237986270386
CC00385XX15,118500,0.01,0.1279177283759203
CC00385XX15,118500,0.03,0.1081654244002745
CC00385XX15,118500,0.05,0.10276652825496974
CC00385XX15,118500,0.5,0.10808522200947342
CC00063AN06,15102,0.0,0.2610259781279643
CC00063AN06,15102,0.0001,0.2540898633933258
CC00063AN06,15102,0.0005,0.2370135122295328
CC00063AN06,15102,0.001,0.22477796221960655
CC00063AN06,15102,0.003,0.19297525641075847
CC00063AN06,15102,0.005,0.17516996082331923
CC00063AN06,15102,0.01,0.1536100141787824
CC00063AN06,15102,0.03,0.12532247577163858
CC00063AN06,15102,0.05,0.1153277354895911
CC00063AN06,15102,0.5,0.11183983027080638
CC00492AN15,140900,0.0,0.24916030612599546
CC00492AN15,140900,0.0001,0.24154911099050225
CC00492AN15,140900,0.0005,0.21998568438916583
CC00492AN15,140900,0.001,0.20401532574235587
CC00492AN15,140900,0.003,0.17271247796881484
CC00492AN15,140900,0.005,0.15734555003946366
CC00492AN15,140900,0.01,0.13656260160768327
CC00492AN15,140900,0.03,0.10977440035913605
CC00492AN15,140900,0.05,0.10376512163002388
CC00492AN15,140900,0.5,0.10559504196612948
CC00100XX01,35000,0.0,0.25971683541734936
CC00100XX01,35000,0.0001,0.2450909452634271
CC00100XX01,35000,0.0005,0.21088928147640124
CC00100XX01,35000,0.001,0.19050038373739658
CC00100XX01,35000,0.003,0.15922846212779151
CC00100XX01,35000,0.005,0.14614125658879662
CC00100XX01,35000,0.01,0.13046003900467684
CC00100XX01,35000,0.03,0.11048092943428169
CC00100XX01,35000,0.05,0.10449762151571142
CC00100XX01,35000,0.5,0.10214635901177828
CC00777XX19,239102,0.0,0.28205827090043656
CC00777XX19,239102,0.0001,0.2631871560308892
CC00777XX19,239102,0.0005,0.22726965676461253
CC00777XX19,239102,0.001,0.20594289717221706
CC00777XX19,239102,0.003,0.16553291164801756
CC00777XX19,239102,0.005,0.1465033124778289
CC00777XX19,239102,0.01,0.12299984024973387
CC00777XX19,239102,0.03,0.10248809489461636
CC00777XX19,239102,0.05,0.09658134758468988
CC00777XX19,239102,0.5,0.09493732429357901
CC00839XX23,23710,0.0,0.19717407163019204
CC00839XX23,23710,0.0001,0.18962470592914193
CC00839XX23,23710,0.0005,0.17457718104722594
CC00839XX23,23710,0.001,0.1622031575006466
CC00839XX23,23710,0.003,0.13820934178641647
CC00839XX23,23710,0.005,0.12425605209090057
CC00839XX23,23710,0.01,0.10548594637296468
CC00839XX23,23710,0.03,0.08583014820295048
CC00839XX23,23710,0.05,0.08324290889844582
CC00839XX23,23710,0.5,0.09509182078511648
KKI2009_113,MR1,0.0,0.25871843203355593
KKI2009_113,MR1,0.0001,0.24556774510264745
KKI2009_113,MR1,0.0005,0.2058247809203812
KKI2009_113,MR1,0.001,0.17648125260759348
KKI2009_113,MR1,0.003,0.13150954752565377
KKI2009_113,MR1,0.005,0.1159518363386333
KKI2009_113,MR1,0.01,0.10463259626907977
KKI2009_113,MR1,0.03,0.10185947901015385
KKI2009_113,MR1,0.05,0.10265318048138865
KKI2009_113,MR1,0.5,0.11903837481947172
KKI2009_142,MR1,0.0,0.26044587682348463
KKI2009_142,MR1,0.0001,0.23787570981434694
KKI2009_142,MR1,0.0005,0.1977929202582322
KKI2009_142,MR1,0.001,0.17521610995867745
KKI2009_142,MR1,0.003,0.14573720858257416
KKI2009_142,MR1,0.005,0.13576736320386606
KKI2009_142,MR1,0.01,0.12531707638971357
KKI2009_142,MR1,0.03,0.11108325200628369
KKI2009_142,MR1,0.05,0.10571830246547587
KKI2009_142,MR1,0.5,0.11409348294536524
KKI2009_505,MR1,0.0,0.26399816567915557
KKI2009_505,MR1,0.0001,0.2478998825871406
KKI2009_505,MR1,0.0005,0.21022843594953167
