Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
41,left,Sillon_Central,2,2.859705,-2.8418357,-2.8894444,-5.534437,-4.855590915679931
41,left,Sillon_Temporal_superieur,3,2.5933814,-2.492382,-2.5702095,-5.384643,-4.904110717773437
41,left,S.Pe.C.inf.,4,2.643075,-2.575496,-2.7549453,-5.529553,-4.6926398277282715
41,left,S.Pe.C.sup.,5,2.6032972,-2.5945983,-2.5519538,-5.695048,-4.865802669525147
41,left,S.Po.C.,6,2.5487394,-2.5262103,-2.4420767,-5.4578986,-4.853811264038086
41,left,Fissure_Intra_Parietale,7,2.9169128,-2.887144,-2.8248377,-5.7686644,-5.3433136463165285
41,left,Sillon_Frontal_superieur,8,2.6588633,-2.6505234,-2.662617,-5.2993717,-4.964845323562622
41,left,Sillon_Frontal_inferieur,9,2.2171805,-2.1878452,-2.4037147,-4.4928145,-3.8298702597618104
41,left,S.T.i.,10,1.6544135,-1.3968748,-1.5686473,-3.8176131,-3.257571315765381
41,left,F.C.M.,11,2.7694445,-2.5731895,-2.8314326,-5.643952,-5.0233475923538204
41,left,Fissure_Calcarine.,12,2.744717,-2.7007172,-2.851936,-5.2134466,-4.847044849395752
41,left,S.F.int.,13,1.4258043,-1.3353297,-1.3981246,-3.535055,-2.597353458404541
41,left,S.R.inf,14,2.2232869,-2.1203032,-2.4190598,-4.3174562,-4.164076089859009
41,left,F.Coll.,15,2.9469066,-2.8943276,-3.0416815,-5.7288713,-5.08948073387146
41,left,S.S.p.,16,2.2609425,-2.1367908,-2.2114692,-5.1082063,-4.446209454536438
41,left,S.Call.,17,3.269193,-3.24004,-3.3184578,-6.3515725,-5.9669005393981935
41,left,Fissure_Parieto_Occipitale,18,2.4686768,-2.4501054,-2.6691818,-4.5000577,-4.153815269470215
41,left,Sillon_Olfactif,19,3.3954766,-3.3954766,-3.5391488,-5.7175455,-5.383478832244873
41,left,S.Or.,20,2.0622747,-2.0324023,-2.1230159,-4.2038603,-3.9762752294540404
41,left,S.O.T.Lat.,21,2.534711,-2.2422373,-2.5592237,-5.418032,-4.8548619747161865
41,left,S.C.LPC.,22,1.3936908,-1.3731301,-1.3400723,-2.532012,-2.4460323333740233
41,left,S.F.int.,23,2.2099607,-2.091015,-2.2161922,-4.706809,-4.348052740097046
41,left,S.F.marginal,24,2.2443054,-2.1257114,-2.2562587,-4.685523,-4.2630451917648315
41,left,S.F.Orbitaire,25,2.2814662,-2.2814662,-2.4673538,-3.3387375,-3.2858519077301027
41,left,S.Rh.,26,2.0614684,-1.931164,-2.289245,-4.0406895,-3.937151479721069
41,left,F.I.P.sup.,27,2.5211473,-2.4828935,-2.4899883,-5.6067276,-5.12058391571045
41,left,S.Pa.sup.,28,1.3482184,-1.092315,-0.9981741,-3.4019015,-3.1340184569358827
