Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
42,right,Sillon_Central,2,4.392609,-4.2415876,-4.400616,-8.880719,-7.772371482849121
42,right,Sillon_Temporal_superieur,3,3.4368894,-3.0914533,-3.3380692,-7.2897477,-6.521554851531983
42,right,S.Pe.C.inf.,4,3.7430525,-3.4447815,-3.6351433,-8.024012,-7.253482937812805
42,right,S.Pe.C.sup.,5,2.452452,-2.0937748,-1.8181365,-7.695811,-6.682180404663086
42,right,S.Po.C.,6,2.9569101,-2.6224468,-2.6581428,-7.508849,-6.516030430793762
42,right,Fissure_Intra_Parietale,7,2.037418,-1.7927452,-1.8680366,-5.1171694,-4.6204368591308596
42,right,Sillon_Frontal_superieur,8,3.1095362,-2.776576,-3.0812101,-6.946001,-5.595181393623352
42,right,Sillon_Frontal_inferieur,9,2.3775399,-0.96487784,-1.7416825,-4.565531,-4.014677166938782
42,right,S.T.i.,10,1.5913241,1.0270143,0.5980215,-2.0177615,-1.549126100540161
42,right,F.C.M.,11,4.1953883,-4.0413265,-4.4546137,-8.589431,-7.572648906707764
42,right,Fissure_Calcarine.,12,3.9749966,-3.9749966,-3.7298398,-8.787608,-7.815255737304687
42,right,S.F.int.,13,1.6793997,0.9353093,1.05825,-3.1708858,-1.9085276961326598
42,right,S.R.inf,14,0.6926908,-0.26567417,-0.24962333,-1.7957681,-1.5362080574035644
42,right,F.Coll.,15,3.5158079,-3.4358544,-3.516454,-7.4851317,-6.874439716339111
42,right,S.S.p.,16,1.8603826,-1.4831303,-1.4151969,-5.3011904,-4.560765743255615
42,right,S.Call.,17,1.4226766,-1.3283426,-1.4237431,-3.4092395,-3.1558735370635986
42,right,Fissure_Parieto_Occipitale,18,2.8634026,-2.1431162,-2.3667219,-6.563674,-6.105558753013611
42,right,Sillon_Olfactif,19,1.5779053,-0.46561602,-0.31612998,-3.6033201,-3.256322503089905
42,right,S.Or.,20,2.1181955,-1.6081545,-1.457329,-5.4206123,-5.0466691017150875
42,right,S.O.T.Lat.,21,2.1207979,-1.7522534,-1.8753586,-5.176023,-4.483436965942383
42,right,S.C.LPC.,22,1.7473966,1.6918874,1.5806696,-0.41801298,-0.21371808648109433
42,right,S.F.int.,23,1.4915336,-0.9350011,-0.95152843,-3.9124603,-3.5686115026474
42,right,S.F.marginal,24,1.8373177,0.0040639183,-0.5314424,-3.5194728,-2.939955270290375
42,right,S.F.Orbitaire,25,3.6939259,3.6939259,3.753981,2.4521964,2.606662380695343
42,right,S.Rh.,26,1.6660625,1.6660625,1.7828226,0.033954706,0.17697101086378098
42,right,F.I.P.sup.,27,2.2076824,-2.095491,-1.7774742,-6.785638,-5.79264965057373
42,right,S.Pa.sup.,28,2.5588417,2.5588417,2.0978963,1.1701254,1.2410382986068726
