Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
29,left,Sillon_Central,2,1.2310014,-1.155956,-1.3063467,-2.060548,-1.9500367641448975
29,left,Sillon_Temporal_superieur,3,0.68949026,-0.5495978,-0.5547127,-1.6711837,-1.4745081901550292
29,left,S.Pe.C.inf.,4,0.60827655,-0.44624215,-0.4331482,-1.6185504,-1.4291972100734711
29,left,S.Pe.C.sup.,5,0.47542566,0.077580735,0.056153096,-1.3206953,-0.8524964213371277
29,left,S.Po.C.,6,0.56463945,-0.3732561,-0.4402765,-1.4106293,-1.2050952017307281
29,left,Fissure_Intra_Parietale,7,0.58950984,-0.45503667,-0.4787771,-1.4429295,-1.3015845537185669
29,left,Sillon_Frontal_superieur,8,0.5862796,-0.45296052,-0.52391964,-1.4641396,-1.174170458316803
29,left,Sillon_Frontal_inferieur,9,0.4793319,-0.4207943,-0.4684487,-1.2619891,-1.0406077265739442
29,left,S.T.i.,10,0.3278735,0.2108538,0.1667975,-0.5419482,-0.32840093970298767
29,left,F.C.M.,11,0.80830485,-0.6805385,-0.7145581,-1.8155268,-1.6931763470172883
29,left,Fissure_Calcarine.,12,1.1479917,-0.985805,-1.1359905,-2.254825,-2.068238639831543
29,left,S.F.int.,13,0.3486455,-0.3306695,-0.35262388,-0.8205703,-0.6564651429653168
29,left,S.R.inf,14,0.25282967,-0.24289878,-0.20193145,-0.6784752,-0.6001329720020294
29,left,F.Coll.,15,0.54196537,-0.38661098,-0.28376088,-1.9001168,-1.5920480608940124
29,left,S.S.p.,16,0.37632525,-0.16276748,-0.1995491,-0.94910437,-0.8007740288972854
29,left,S.Call.,17,0.6592552,-0.47866476,-0.46916014,-2.0732644,-1.4139947891235352
29,left,Fissure_Parieto_Occipitale,18,0.88245994,-0.80916727,-0.87503034,-1.915723,-1.7532753348350525
29,left,Sillon_Olfactif,19,0.7584391,-0.6737362,-0.71295583,-1.7817738,-1.6496116161346435
29,left,S.Or.,20,0.35818958,-0.25071198,-0.28868124,-0.7722663,-0.6772797137498856
29,left,S.O.T.Lat.,21,0.49827942,-0.3067264,-0.32201216,-1.5628577,-1.2933030724525452
29,left,S.C.LPC.,22,0.18115298,0.04975778,0.02936339,-0.29012725,-0.27873472571372987
29,left,S.F.int.,23,0.30001205,-0.24428703,-0.25658703,-0.792774,-0.6707950085401535
29,left,S.F.marginal,24,0.19746687,-0.07666991,-0.10442923,-0.48880693,-0.41294944286346436
29,left,S.F.Orbitaire,25,0.11639518,0.00923633,-0.024248539,-0.17506877,-0.1638951815664768
29,left,S.Rh.,26,0.5356362,0.5240302,0.5476834,-0.10340714,-0.04732542261481285
29,left,F.I.P.sup.,27,0.63995063,-0.506507,-0.52357167,-1.4403572,-1.3490881681442262
29,left,S.Pa.sup.,28,0.24969411,0.20902418,0.21858793,-0.23458779,-0.1659989945590496
