Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
39,right,Sillon_Central,2,2.8879552,-2.8694727,-2.995906,-5.4859524,-4.9303285598754885
39,right,Sillon_Temporal_superieur,3,2.4809275,-2.4074616,-2.3500903,-5.147686,-4.831930923461914
39,right,S.Pe.C.inf.,4,2.676366,-2.6233497,-2.7483482,-5.2715874,-4.768905162811279
39,right,S.Pe.C.sup.,5,2.469467,-2.355129,-2.4091058,-5.4217305,-4.789156794548035
39,right,S.Po.C.,6,2.4913187,-2.346901,-2.5026376,-5.260889,-4.589466834068299
39,right,Fissure_Intra_Parietale,7,2.1774435,-1.9909796,-2.121386,-5.044973,-4.54634804725647
39,right,Sillon_Frontal_superieur,8,2.5100734,-2.45427,-2.5046778,-5.353811,-4.724769115447998
39,right,Sillon_Frontal_inferieur,9,2.0296555,-1.9207729,-2.004882,-4.4501476,-4.074424624443054
39,right,S.T.i.,10,1.5785079,-1.3019038,-1.558188,-3.8273282,-3.091320538520813
39,right,F.C.M.,11,2.8354807,-2.7398748,-2.9000783,-5.587462,-4.915457463264465
39,right,Fissure_Calcarine.,12,2.4879682,-2.3895352,-2.5755658,-5.212257,-4.768890833854675
39,right,S.F.int.,13,1.1413255,-0.93469507,-1.0634389,-2.9344811,-2.2308816075325013
39,right,S.R.inf,14,1.4596943,-1.3145046,-1.2310513,-3.5007052,-3.318238925933838
39,right,F.Coll.,15,2.7272918,-2.604557,-2.7856112,-5.7542396,-5.403600883483887
39,right,S.S.p.,16,2.0213914,-1.8626395,-2.023202,-4.680485,-3.976514220237732
39,right,S.Call.,17,2.5762386,-2.5332334,-2.7056103,-5.811484,-4.895811676979065
39,right,Fissure_Parieto_Occipitale,18,2.3538337,-2.2996197,-2.4963617,-4.49178,-3.8669218182563783
39,right,Sillon_Olfactif,19,3.2456605,-3.1808906,-3.513115,-5.7300034,-5.381160140037537
39,right,S.Or.,20,1.9490923,-1.8408811,-1.8156834,-4.560312,-4.069415044784546
39,right,S.O.T.Lat.,21,2.4054484,-2.1525214,-2.314733,-5.3171587,-4.814514017105102
39,right,S.C.LPC.,22,1.6754266,-1.4669037,-1.7827388,-2.981208,-2.9397411823272703
39,right,S.F.int.,23,2.1662545,-2.061601,-2.1154022,-4.5847507,-4.241750955581665
39,right,S.F.marginal,24,2.1972318,-1.9013555,-2.375012,-3.8465056,-3.6928996562957765
39,right,S.F.Orbitaire,25,1.9463984,-1.9463984,-2.061166,-2.4501674,-2.3707567930221556
39,right,S.Rh.,26,1.4614817,-1.0730557,-0.92398316,-3.2068887,-3.100904643535614
39,right,F.I.P.sup.,27,1.8919252,-1.3623492,-1.5068334,-4.3530664,-3.8794744968414308
39,right,S.Pa.sup.,28,0.9786695,-0.41667974,-0.35789356,-2.2672248,-2.0903348445892336
