Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
44,left,Sillon_Central,2,2.839316,-2.8329604,-2.8526583,-5.3648143,-4.912204647064209
44,left,Sillon_Temporal_superieur,3,2.6348133,-2.634693,-2.4808154,-5.3785357,-4.862586164474488
44,left,S.Pe.C.inf.,4,2.733006,-2.7257116,-2.8269825,-5.7429976,-4.947286081314087
44,left,S.Pe.C.sup.,5,2.719729,-2.7168114,-2.6180234,-5.752205,-5.010812568664551
44,left,S.Po.C.,6,2.6317403,-2.624832,-2.473429,-5.959314,-5.336899518966675
44,left,Fissure_Intra_Parietale,7,2.8847804,-2.8845022,-2.741067,-5.821045,-5.30150260925293
44,left,Sillon_Frontal_superieur,8,2.807413,-2.8023627,-2.7087247,-5.364897,-5.075208854675293
44,left,Sillon_Frontal_inferieur,9,2.5299065,-2.5284815,-2.4676738,-4.8217635,-4.255228877067566
44,left,S.T.i.,10,1.9848392,-1.9848392,-1.8697047,-4.258678,-3.734956431388855
44,left,F.C.M.,11,2.9656177,-2.95922,-3.0111156,-5.6941814,-5.058868336677551
44,left,Fissure_Calcarine.,12,2.704331,-2.6943548,-2.8144305,-5.149058,-4.678604316711426
44,left,S.F.int.,13,1.7777503,-1.7777503,-1.7122918,-3.713869,-3.234664559364319
44,left,S.R.inf,14,2.1801653,-2.1801653,-2.1769028,-3.946704,-3.733679413795471
44,left,F.Coll.,15,2.9868722,-2.9813983,-3.0493956,-5.610412,-4.990781259536743
44,left,S.S.p.,16,2.5247986,-2.524026,-2.4613025,-5.3745894,-4.752373290061951
44,left,S.Call.,17,3.0963953,-3.060153,-3.1756208,-6.391164,-5.686072731018067
44,left,Fissure_Parieto_Occipitale,18,2.5319333,-2.5319333,-2.6635087,-4.654219,-4.265925884246826
44,left,Sillon_Olfactif,19,3.2655928,-3.255737,-3.2240949,-5.6941395,-5.303054237365723
44,left,S.Or.,20,2.394608,-2.392393,-2.4973116,-4.4559135,-4.226060509681702
44,left,S.O.T.Lat.,21,2.7699187,-2.7671065,-2.7701492,-5.5023847,-4.975985765457153
44,left,S.C.LPC.,22,1.5719856,-1.5604526,-1.5290997,-2.7347827,-2.5292914390563963
44,left,S.F.int.,23,2.4143314,-2.40227,-2.3401825,-5.0889473,-4.664804458618164
44,left,S.F.marginal,24,2.513818,-2.513818,-2.487493,-4.732472,-4.394190549850464
44,left,S.F.Orbitaire,25,2.2035701,-2.2035701,-2.2914886,-3.5401964,-3.408827555179596
44,left,S.Rh.,26,2.3836493,-2.3836493,-2.4159276,-4.0665393,-4.022637176513672
44,left,F.I.P.sup.,27,2.6151357,-2.6038954,-2.461052,-5.44161,-4.978437900543213
44,left,S.Pa.sup.,28,1.9879508,-1.9879508,-2.0121868,-3.2987554,-3.0832157135009766
