Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
31,right,Sillon_Central,2,1.314298,-1.1962277,-1.3720772,-2.2559726,-2.073170280456543
31,right,Sillon_Temporal_superieur,3,0.87714446,-0.801822,-0.7918656,-2.1290715,-1.808529794216156
31,right,S.Pe.C.inf.,4,0.8101862,-0.6553097,-0.7424524,-2.006285,-1.7277502119541168
31,right,S.Pe.C.sup.,5,0.609797,-0.33963183,-0.17665343,-1.8542628,-1.5881045460700989
31,right,S.Po.C.,6,0.8550779,-0.50634634,-0.55067587,-1.96682,-1.7335067510604858
31,right,Fissure_Intra_Parietale,7,0.5830098,-0.31777725,-0.33566165,-1.4839633,-1.3031933307647705
31,right,Sillon_Frontal_superieur,8,0.6624472,-0.5389188,-0.613042,-1.561076,-1.3550659596920014
31,right,Sillon_Frontal_inferieur,9,0.67683953,-0.572647,-0.6428926,-1.9660963,-1.3980308771133423
31,right,S.T.i.,10,0.2665489,-0.054156277,-0.0076522008,-0.82862866,-0.6626802772283554
31,right,F.C.M.,11,0.78878707,-0.49720958,-0.38046545,-2.0469499,-1.8710112929344178
31,right,Fissure_Calcarine.,12,1.1861616,-1.112458,-1.2227939,-2.3783484,-2.145743155479431
31,right,S.F.int.,13,0.35683563,-0.24420471,-0.17222442,-1.1045259,-0.9709217548370361
31,right,S.R.inf,14,0.27295142,-0.13533217,-0.124761015,-0.72877985,-0.629668441414833
31,right,F.Coll.,15,0.8146037,-0.585393,-0.5030269,-2.1735895,-1.9601839303970336
31,right,S.S.p.,16,0.41536292,0.0529558,0.047780003,-1.000633,-0.8684627413749695
31,right,S.Call.,17,0.63491887,-0.014700907,0.12667969,-2.096673,-1.537754386663437
31,right,Fissure_Parieto_Occipitale,18,0.9548422,-0.8683126,-0.9312299,-1.9118637,-1.78330517411232
31,right,Sillon_Olfactif,19,0.95961285,-0.86489105,-0.9333,-2.1699493,-1.9741197526454926
31,right,S.Or.,20,0.4748056,-0.16886966,-0.21248499,-1.2563922,-1.089048647880554
31,right,S.O.T.Lat.,21,0.58376414,-0.45409125,-0.36696285,-1.8516562,-1.6365615129470825
31,right,S.C.LPC.,22,0.38480005,0.18919277,0.2065999,-0.53671765,-0.4607929468154907
31,right,S.F.int.,23,0.45570835,-0.3902515,-0.41166812,-0.9924516,-0.8985216617584229
31,right,S.F.marginal,24,0.41175815,-0.19587924,-0.2553457,-0.97130316,-0.8335618942975997
31,right,S.F.Orbitaire,25,0.24362569,-0.24362569,-0.26163054,-0.32290205,-0.3035873264074326
31,right,S.Rh.,26,0.3689964,0.028957652,-0.009415254,-0.5960825,-0.554680347442627
31,right,F.I.P.sup.,27,0.56322503,-0.41327265,-0.39092544,-1.6052303,-1.2757616996765138
31,right,S.Pa.sup.,28,0.31859365,0.16656436,0.1321966,-0.44060433,-0.3754060328006744
