Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
32,right,Sillon_Central,2,3.0402093,-2.8204472,-3.1210384,-5.3636756,-4.867294120788574
32,right,Sillon_Temporal_superieur,3,2.1698475,-2.0260448,-2.056327,-5.154149,-4.3892579793930055
32,right,S.Pe.C.inf.,4,2.040809,-1.7219801,-2.022034,-4.8995132,-4.277135848999023
32,right,S.Pe.C.sup.,5,1.5778255,-1.0568308,-0.7438854,-4.57198,-3.988659143447876
32,right,S.Po.C.,6,2.0852368,-1.4460894,-1.5394391,-4.896893,-4.288083267211914
32,right,Fissure_Intra_Parietale,7,1.4358538,-0.85302615,-1.001909,-3.6711314,-3.1853667974472044
32,right,Sillon_Frontal_superieur,8,1.7723261,-1.5673258,-1.7546334,-3.9999943,-3.5284441351890563
32,right,Sillon_Frontal_inferieur,9,1.775291,-1.5322167,-1.7195098,-4.7317686,-3.6356895565986633
32,right,S.T.i.,10,0.69848144,-0.18389441,-0.035966046,-2.2839472,-1.7377893924713135
32,right,F.C.M.,11,2.0657232,-1.5645136,-1.540798,-4.97249,-4.484396648406983
32,right,Fissure_Calcarine.,12,2.7794304,-2.6239495,-2.8234677,-5.5457587,-4.975484156608582
32,right,S.F.int.,13,0.8532627,-0.6443868,-0.5613779,-2.4276953,-2.109683799743652
32,right,S.R.inf,14,0.7484362,-0.4674213,-0.41645187,-1.9124758,-1.815175610780716
32,right,F.Coll.,15,2.0506337,-1.394809,-1.2303332,-5.3479743,-4.8525194168090815
32,right,S.S.p.,16,1.1885784,-0.07289241,-0.20936587,-2.9326913,-2.4122403860092163
32,right,S.Call.,17,1.7318127,-0.65692645,-0.807348,-5.1590896,-4.029438614845276
32,right,Fissure_Parieto_Occipitale,18,2.2746859,-2.1130357,-2.3150842,-4.4693937,-4.125889635086059
32,right,Sillon_Olfactif,19,2.4679925,-2.2395859,-2.4103987,-5.288798,-4.86246383190155
32,right,S.Or.,20,1.223207,-0.5228193,-0.55545497,-3.268347,-2.813328671455383
32,right,S.O.T.Lat.,21,1.4891562,-1.2976255,-1.0572515,-4.5645986,-4.026716113090515
32,right,S.C.LPC.,22,0.90739554,-0.04226085,-0.07410624,-1.7769217,-1.6545539617538452
32,right,S.F.int.,23,1.2520325,-1.099535,-1.2228295,-2.8083706,-2.5651726722717285
32,right,S.F.marginal,24,1.1475409,-0.6468929,-0.84225845,-2.700751,-2.406157410144806
32,right,S.F.Orbitaire,25,0.79691696,-0.79691696,-0.84148556,-0.99243987,-0.9596061378717422
32,right,S.Rh.,26,0.92684513,-0.033071812,-0.11418268,-1.775839,-1.588078796863556
32,right,F.I.P.sup.,27,1.4931296,-1.2187505,-1.183895,-3.899899,-3.2077200412750244
32,right,S.Pa.sup.,28,0.8357179,0.09428873,0.032840997,-1.4922498,-1.3696368217468262
