Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
38,left,Sillon_Central,2,4.235673,-4.10515,-4.348871,-8.679261,-7.644523310661316
38,left,Sillon_Temporal_superieur,3,3.2656777,-2.8385444,-3.277889,-6.2529893,-5.664099788665771
38,left,S.Pe.C.inf.,4,3.339458,-3.2245176,-3.2086825,-7.7089124,-6.878275465965271
38,left,S.Pe.C.sup.,5,2.7426028,-2.262185,-2.3664446,-6.4396653,-5.889323043823242
38,left,S.Po.C.,6,2.7521193,-2.1880217,-2.217735,-7.196696,-6.505918264389038
38,left,Fissure_Intra_Parietale,7,3.4786398,-3.4299219,-3.430605,-6.800134,-6.405003595352173
38,left,Sillon_Frontal_superieur,8,2.9270294,-2.6021686,-2.933257,-5.766128,-4.934290933609009
38,left,Sillon_Frontal_inferieur,9,2.105793,-2.0679607,-2.17901,-5.0170045,-4.09818058013916
38,left,S.T.i.,10,1.3864362,1.1968669,0.77221596,-1.1013414,-0.6277398526668548
38,left,F.C.M.,11,4.283175,-4.2281823,-4.4721985,-8.6744,-7.678877544403076
38,left,Fissure_Calcarine.,12,4.979458,-4.9663596,-4.9291863,-9.639133,-8.789148330688477
38,left,S.F.int.,13,0.9517928,0.5629974,0.46359515,-1.4811661,-0.9982000887393951
38,left,S.R.inf,14,1.3307139,0.48884517,0.343912,-1.9814776,-1.7140095233917236
38,left,F.Coll.,15,3.7326577,-3.7304502,-3.8824823,-6.5477877,-5.953537940979004
38,left,S.S.p.,16,2.2882233,-1.821031,-2.0141196,-5.330376,-4.778330612182617
38,left,S.Call.,17,2.058166,-2.0548978,-2.069127,-4.811909,-3.9979501724243165
38,left,Fissure_Parieto_Occipitale,18,3.4774876,-3.33526,-3.3165035,-7.3551736,-6.791112422943115
38,left,Sillon_Olfactif,19,1.2390368,-0.18889941,-0.42853102,-2.5437524,-2.296186399459839
38,left,S.Or.,20,1.7535952,-0.9258594,-1.0789697,-4.16556,-3.7425045490264894
38,left,S.O.T.Lat.,21,1.8551813,-1.7358739,-1.7988751,-4.4956665,-3.9863011837005615
38,left,S.C.LPC.,22,1.3772211,1.3772211,1.3520964,0.9042032,0.9883808612823486
38,left,S.F.int.,23,1.7045702,-1.6442865,-1.5273788,-3.941636,-3.6392176747322083
38,left,S.F.marginal,24,1.3161564,0.104460426,-0.33560398,-2.0360627,-1.8349471688270569
38,left,S.F.Orbitaire,25,1.2070962,1.2070962,1.0266196,0.3086394,0.3951557815074921
38,left,S.Rh.,26,2.222414,2.222414,1.9239459,0.53531986,0.6473427772521972
38,left,F.I.P.sup.,27,3.54864,-3.3299274,-3.4177308,-6.7817044,-6.4298398971557615
38,left,S.Pa.sup.,28,2.1810637,2.1810637,2.0730066,1.2710081,1.3709530293941499
