Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
36,left,Sillon_Central,2,4.192774,-3.9647412,-4.365342,-8.198883,-7.349114036560058
36,left,Sillon_Temporal_superieur,3,2.9714332,-2.3404999,-2.8848867,-5.6535187,-5.107709693908691
36,left,S.Pe.C.inf.,4,3.0202575,-2.9577196,-2.918797,-6.8642216,-6.179827189445495
36,left,S.Pe.C.sup.,5,2.4789133,-1.8198081,-1.8627222,-5.881881,-5.359501743316651
36,left,S.Po.C.,6,2.4658594,-1.6822131,-1.7771499,-6.445287,-5.72651481628418
36,left,Fissure_Intra_Parietale,7,2.880055,-2.7896743,-2.837998,-5.8772364,-5.601139092445373
36,left,Sillon_Frontal_superieur,8,2.5264113,-2.063335,-2.4237466,-5.416897,-4.638246154785156
36,left,Sillon_Frontal_inferieur,9,2.2040145,-2.160133,-2.2240417,-5.210116,-4.311482524871826
36,left,S.T.i.,10,1.8295162,1.716333,1.1289973,-0.87899226,-0.5173460960388183
36,left,F.C.M.,11,4.2131057,-4.152844,-4.3153677,-8.252056,-7.3691538095474245
36,left,Fissure_Calcarine.,12,5.2150774,-5.1932526,-5.408255,-9.7492485,-8.948190116882325
36,left,S.F.int.,13,0.8982934,0.71664166,0.5990328,-1.2412214,-0.7062946856021881
36,left,S.R.inf,14,1.3004197,0.83659,0.72378117,-1.419501,-1.1403055787086487
36,left,F.Coll.,15,3.2720573,-3.2522595,-3.4870958,-5.896817,-5.395872020721436
36,left,S.S.p.,16,1.9852275,-1.32271,-1.65349,-4.526726,-4.020435309410095
36,left,S.Call.,17,2.3719497,-2.3718815,-2.519507,-5.2884336,-4.0860387802124025
36,left,Fissure_Parieto_Occipitale,18,3.5759466,-3.5347142,-3.460597,-7.212906,-6.834069490432739
36,left,Sillon_Olfactif,19,1.4299943,0.45352057,0.21007091,-2.1644454,-1.8478419303894043
36,left,S.Or.,20,1.4571521,-0.18356349,-0.3980986,-3.059003,-2.706732714176178
36,left,S.O.T.Lat.,21,1.6015651,-1.403088,-1.4749346,-3.8945026,-3.4264957308769226
36,left,S.C.LPC.,22,1.3273115,1.3273115,1.211791,0.7817606,0.8749795198440552
36,left,S.F.int.,23,1.464334,-1.2624676,-1.2498239,-3.274003,-2.9624971747398376
36,left,S.F.marginal,24,1.4024429,0.9910999,0.54475653,-1.336493,-1.089378535747528
36,left,S.F.Orbitaire,25,1.5126026,1.5126026,1.3680029,0.8318642,0.893451189994812
36,left,S.Rh.,26,2.7939432,2.7939432,2.550644,0.9533297,1.0812108278274537
36,left,F.I.P.sup.,27,3.4010167,-3.1559794,-3.3754117,-6.366964,-6.021205711364746
36,left,S.Pa.sup.,28,2.855935,2.855935,2.745288,2.1225708,2.147548186779022
