Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
32,right,Sillon_Central,2,3.9325566,-3.6643345,-4.2631526,-6.9193764,-6.279664802551269
32,right,Sillon_Temporal_superieur,3,2.7586083,-1.7035071,-2.2814379,-5.4771442,-4.844438004493713
32,right,S.Pe.C.inf.,4,2.393445,-2.168945,-2.335873,-5.619388,-4.991440057754517
32,right,S.Pe.C.sup.,5,1.7691694,-0.20720734,0.017492963,-4.2628193,-3.4344534873962402
32,right,S.Po.C.,6,2.1498313,-1.3640391,-1.4383917,-5.393396,-4.836547946929931
32,right,Fissure_Intra_Parietale,7,0.87559843,0.32740092,0.26305208,-1.57332,-1.2638724088668822
32,right,Sillon_Frontal_superieur,8,1.4732171,-1.0268843,-1.231502,-4.1507845,-3.0261497855186463
32,right,Sillon_Frontal_inferieur,9,1.7483451,-0.45795634,-0.59072316,-5.063547,-3.9189632534980774
32,right,S.T.i.,10,2.6396234,2.5413296,1.6709912,-1.2661288,-0.43174193948507306
32,right,F.C.M.,11,3.5916252,-3.436815,-3.5441396,-6.802073,-6.28136146068573
32,right,Fissure_Calcarine.,12,5.082437,-5.078358,-4.9595976,-8.970423,-8.492345285415649
32,right,S.F.int.,13,1.1523386,0.7306683,0.79754233,-1.8688688,-1.4452382564544677
32,right,S.R.inf,14,0.70995134,0.35873035,0.46828043,-1.3131566,-1.0632037580013276
32,right,F.Coll.,15,2.7994049,-2.2429957,-2.507192,-5.8305993,-5.488787078857422
32,right,S.S.p.,16,1.4092923,-0.9428951,-1.2724186,-2.7832842,-2.550169825553894
32,right,S.Call.,17,2.8894567,-2.8894567,-2.80231,-4.5166125,-4.136286973953247
32,right,Fissure_Parieto_Occipitale,18,2.9108734,-2.5921988,-2.7843688,-6.4781036,-5.88351845741272
32,right,Sillon_Olfactif,19,1.9102459,1.6124159,1.3932164,-1.5962244,-1.160498321056366
32,right,S.Or.,20,1.2891341,0.7515773,0.6270299,-1.5635242,-1.3238798022270202
32,right,S.O.T.Lat.,21,0.99468213,0.30718273,0.46464205,-2.5347433,-2.0090505957603453
32,right,S.C.LPC.,22,1.8685552,1.8685552,1.8890483,0.6118813,0.6861466765403748
32,right,S.F.int.,23,0.67600733,0.38618764,0.27300698,-0.92551476,-0.6645284593105316
32,right,S.F.marginal,24,2.7499354,2.7499354,2.543817,0.5455211,0.7197249323129654
32,right,S.F.Orbitaire,25,3.6005993,3.6005993,3.5682049,3.2332618,3.2365811228752137
32,right,S.Rh.,26,2.2095783,2.2095783,1.7311254,0.81394225,1.0472310185432434
32,right,F.I.P.sup.,27,1.8308624,-0.9180203,-1.3154371,-3.8708599,-3.5075196743011476
32,right,S.Pa.sup.,28,3.421197,3.421197,3.401934,2.9815283,3.003094291687012
