Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
30,left,Sillon_Central,2,3.045245,-2.937457,-3.1959424,-5.164934,-4.79631998538971
30,left,Sillon_Temporal_superieur,3,1.8678921,-1.4992511,-1.6457747,-4.3332086,-3.81650767326355
30,left,S.Pe.C.inf.,4,1.7113526,-1.3570526,-1.4400687,-4.412799,-3.8476732850074766
30,left,S.Pe.C.sup.,5,1.3016655,-0.09258361,-0.14499062,-3.6041565,-2.660185384750366
30,left,S.Po.C.,6,1.53847,-1.1487743,-1.2959359,-3.9999785,-3.3692073822021484
30,left,Fissure_Intra_Parietale,7,1.7772187,-1.5246115,-1.5850362,-4.097387,-3.7843342900276182
30,left,Sillon_Frontal_superieur,8,1.6676651,-1.4167523,-1.5489632,-3.9704292,-3.176260733604431
30,left,Sillon_Frontal_inferieur,9,1.4146385,-1.2983968,-1.431948,-3.2577164,-2.900538408756256
30,left,S.T.i.,10,0.85352975,0.499596,0.39865598,-1.6286845,-1.048633849620819
30,left,F.C.M.,11,2.1636043,-1.928863,-2.1046882,-4.7875743,-4.362733840942383
30,left,Fissure_Calcarine.,12,2.8157876,-2.444884,-2.8844335,-5.4579277,-5.121205139160156
30,left,S.F.int.,13,0.8982565,-0.84918547,-0.95273334,-2.1471975,-1.69964200258255
30,left,S.R.inf,14,0.8469123,-0.80264086,-0.65171885,-2.2574189,-2.0516446232795715
30,left,F.Coll.,15,1.5751902,-1.160213,-0.9547577,-5.063045,-4.368636655807495
30,left,S.S.p.,16,1.0029769,-0.57747173,-0.6469995,-2.6620274,-2.202892529964447
30,left,S.Call.,17,2.1232576,-1.6141448,-1.7179004,-5.3231153,-4.2992761611938475
30,left,Fissure_Parieto_Occipitale,18,2.2275443,-2.0982344,-2.2221463,-4.5698233,-4.356958389282227
30,left,Sillon_Olfactif,19,2.06114,-1.6777174,-1.8703681,-4.6611204,-4.2953493118286135
30,left,S.Or.,20,0.95562375,-0.7423719,-0.7828751,-2.2915175,-1.8964692592620849
30,left,S.O.T.Lat.,21,1.3610774,-0.9241529,-0.95477486,-4.0946,-3.4702243208885193
30,left,S.C.LPC.,22,0.40993932,-0.012440103,-0.096060604,-0.8327366,-0.7573325872421265
30,left,S.F.int.,23,0.8960632,-0.70914114,-0.7116646,-2.467637,-2.174586296081543
30,left,S.F.marginal,24,0.683098,-0.3067094,-0.34939694,-1.840577,-1.507474958896637
30,left,S.F.Orbitaire,25,0.44097278,-0.23938407,-0.29054242,-0.9080358,-0.8514675229787827
30,left,S.Rh.,26,1.3022103,1.2636949,1.2628359,-0.29788023,-0.20381332337856292
30,left,F.I.P.sup.,27,1.7853707,-1.5694734,-1.5869374,-3.904516,-3.733747863769531
30,left,S.Pa.sup.,28,0.5704378,0.2662683,0.28376752,-0.90416706,-0.8264271408319473
