Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
37,right,Sillon_Central,2,4.1939898,-4.057298,-4.3536916,-8.053957,-7.184103298187256
37,right,Sillon_Temporal_superieur,3,3.5084772,-2.7432263,-3.2993875,-6.7783384,-6.241799831390381
37,right,S.Pe.C.inf.,4,3.4007533,-3.166535,-3.2876015,-7.374651,-6.558515787124634
37,right,S.Pe.C.sup.,5,2.3183613,-1.6164359,-1.6089406,-6.175349,-5.518216490745544
37,right,S.Po.C.,6,2.6389074,-2.1362424,-2.2898855,-6.6776834,-5.852021622657776
37,right,Fissure_Intra_Parietale,7,2.0250304,-1.6574147,-1.7339057,-4.50671,-4.18645339012146
37,right,Sillon_Frontal_superieur,8,2.4826245,-2.1550121,-2.3320901,-5.568001,-4.5643822193145756
37,right,Sillon_Frontal_inferieur,9,2.1632805,-0.8736848,-1.4274333,-4.803655,-3.7268348336219788
37,right,S.T.i.,10,2.2812726,2.074566,1.270441,-1.1139746,-0.838150256872177
37,right,F.C.M.,11,3.8870397,-3.7998457,-4.1818385,-7.950557,-6.965053939819335
37,right,Fissure_Calcarine.,12,4.3957815,-4.3953104,-4.0864763,-9.302082,-8.483182382583617
37,right,S.F.int.,13,2.172496,1.9819939,2.1084552,-3.1095488,-0.7924902528524398
37,right,S.R.inf,14,0.6038149,0.33770722,0.23944789,-0.8334081,-0.6000561803579331
37,right,F.Coll.,15,3.1073787,-2.9389775,-3.036317,-6.894892,-6.440608787536621
37,right,S.S.p.,16,1.7360339,-1.2929119,-1.3918039,-4.1220393,-3.7035887241363525
37,right,S.Call.,17,2.1258628,-2.1258628,-2.1630163,-4.323018,-3.23007595539093
37,right,Fissure_Parieto_Occipitale,18,2.8978553,-1.8944994,-2.1481838,-6.8364506,-6.237495112419128
37,right,Sillon_Olfactif,19,1.6536067,0.45974442,0.467884,-2.8850136,-2.6262365579605103
37,right,S.Or.,20,1.5704399,-0.51159024,-0.3871366,-3.7752154,-3.4565127372741697
37,right,S.O.T.Lat.,21,1.4383647,-0.85469514,-0.80293167,-4.1167793,-3.6873385667800904
37,right,S.C.LPC.,22,1.1366802,1.0693539,1.0997729,-0.40522325,-0.2855102181434631
37,right,S.F.int.,23,1.2049311,-0.9727461,-0.86572075,-3.1632712,-2.8563129901885986
37,right,S.F.marginal,24,1.618531,1.0265936,0.7711536,-1.6872811,-1.453641152381897
37,right,S.F.Orbitaire,25,3.76567,3.76567,3.8202705,2.9626036,3.056395375728607
37,right,S.Rh.,26,2.0991392,2.0991392,1.6335647,0.8160544,1.0442529618740082
37,right,F.I.P.sup.,27,2.3412178,-2.162912,-2.186906,-5.095197,-4.589087295532226
37,right,S.Pa.sup.,28,2.2575946,2.2575946,2.1311789,0.8336494,1.0179083108901978
