Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
31,right,Sillon_Central,2,3.8525858,-3.5610723,-4.234097,-6.6779766,-6.034799194335937
31,right,Sillon_Temporal_superieur,3,2.6267045,-1.5379627,-2.119516,-5.113362,-4.6697615623474125
31,right,S.Pe.C.inf.,4,2.1232202,-1.8793107,-2.0341582,-5.121985,-4.5121811628341675
31,right,S.Pe.C.sup.,5,1.6585137,0.15640147,0.45017534,-3.6419513,-2.9237165451049805
31,right,S.Po.C.,6,1.9470394,-1.1230947,-1.1355542,-4.887501,-4.390121912956237
31,right,Fissure_Intra_Parietale,7,0.9005663,0.60400546,0.5549223,-1.1187476,-0.8506742000579834
31,right,Sillon_Frontal_superieur,8,1.245509,-0.7300888,-0.95554763,-3.7447038,-2.6683244824409487
31,right,Sillon_Frontal_inferieur,9,1.5880942,-0.27350292,-0.23381236,-4.741286,-3.698428988456726
31,right,S.T.i.,10,2.5962741,2.503217,1.6649852,-1.1200354,-0.42251758873462675
31,right,F.C.M.,11,3.4125679,-3.243294,-3.2703776,-6.4263215,-5.934438610076904
31,right,Fissure_Calcarine.,12,5.1817427,-5.169461,-5.194381,-8.962287,-8.514430904388428
31,right,S.F.int.,13,1.2597723,0.9341438,1.0677851,-2.1625412,-1.3551776468753813
31,right,S.R.inf,14,0.6220991,0.21203132,0.22609912,-1.2420999,-1.0159093260765075
31,right,F.Coll.,15,2.7529635,-2.0312378,-2.4055102,-5.5698256,-5.295155143737793
31,right,S.S.p.,16,1.3306891,-0.79948246,-0.9624206,-2.4797876,-2.3382608890533447
31,right,S.Call.,17,2.9712698,-2.9712698,-2.722045,-4.821262,-4.356462597846985
31,right,Fissure_Parieto_Occipitale,18,3.0237143,-2.7425342,-2.9842992,-6.5437546,-5.925221061706543
31,right,Sillon_Olfactif,19,1.8650941,1.6029524,1.3593106,-1.4498558,-1.023596853017807
31,right,S.Or.,20,1.2374992,0.93131095,0.7459027,-1.1262513,-0.8997434556484222
31,right,S.O.T.Lat.,21,1.0505484,0.5222339,0.68920505,-2.2140656,-1.7349405169487
31,right,S.C.LPC.,22,1.7588141,1.7588141,1.7274305,0.73595935,0.8340720891952514
31,right,S.F.int.,23,0.7662065,0.64586717,0.5644489,-0.74228567,-0.395890936255455
31,right,S.F.marginal,24,3.1169946,3.1169946,2.8859494,1.088773,1.2639790534973145
31,right,S.F.Orbitaire,25,3.5210369,3.5210369,3.502027,3.218094,3.2294217944145203
31,right,S.Rh.,26,2.2628489,2.2628489,1.8728541,0.9136447,1.144812524318695
31,right,F.I.P.sup.,27,1.598565,-0.6189939,-0.94799644,-3.5817716,-3.1811984539031983
31,right,S.Pa.sup.,28,3.6363704,3.6363704,3.6278481,3.2656593,3.304112100601196
