subject,sessions,std_crest_dpf003
CC00735XX18,222201,0.13633142315157898
CC00672AN13,197601,0.1421829583238053
CC00672BN13,200000,0.1530255313766444
CC00621XX11,177900,0.1126371625945762
CC00829XX21,17610,0.12502194228708768
CC00617XX15,176500,0.11317772055995272
CC00712XX11,221400,0.1143460968137055
CC00385XX15,118500,0.1081654244002745
CC00063AN06,15102,0.12532247577163858
CC00492AN15,140900,0.10977440035913605
CC00100XX01,35000,0.11048092943428169
CC00777XX19,239102,0.10248809489461636
CC00839XX23,23710,0.08583014820295048
KKI2009_113,MR1,0.10185947901015385
KKI2009_142,MR1,0.11108325200628369
KKI2009_505,MR1,0.10778260086052209
