Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
39,right,Sillon_Central,2,4.2487345,-4.1275587,-4.3393974,-8.470865,-7.536386299133301
39,right,Sillon_Temporal_superieur,3,3.4811695,-2.8143091,-3.3563852,-6.5415807,-6.08881139755249
39,right,S.Pe.C.inf.,4,3.7421021,-3.4852052,-3.764348,-7.23832,-6.625531196594238
39,right,S.Pe.C.sup.,5,2.642633,-1.9804538,-1.9285257,-6.776918,-6.156980395317078
39,right,S.Po.C.,6,2.9631183,-2.6303604,-2.9258623,-7.2661724,-6.243581104278564
39,right,Fissure_Intra_Parietale,7,1.8985113,-1.6179465,-1.7884805,-4.0128064,-3.5654475927352904
39,right,Sillon_Frontal_superieur,8,2.5930555,-2.3562875,-2.5123339,-5.76046,-4.966064548492431
39,right,Sillon_Frontal_inferieur,9,2.145028,-0.79610837,-1.5318666,-4.294392,-3.4482192397117615
39,right,S.T.i.,10,2.029123,1.5828409,0.87852025,-1.9434336,-1.3522371828556061
39,right,F.C.M.,11,4.097701,-3.998559,-4.3234386,-8.32279,-7.2611864566802975
39,right,Fissure_Calcarine.,12,4.067697,-4.064342,-3.6938043,-8.797662,-7.907914566993713
39,right,S.F.int.,13,1.8037032,1.534927,1.4737017,-3.0470579,-1.2338244795799254
39,right,S.R.inf,14,0.80658424,0.51628464,0.43987203,-0.8485133,-0.6769972443580627
39,right,F.Coll.,15,3.4747753,-3.434903,-3.445482,-7.1347475,-6.655626106262207
39,right,S.S.p.,16,1.791874,-1.544097,-1.5403697,-4.482955,-4.063171863555908
39,right,S.Call.,17,1.5786319,-1.5786319,-1.6359043,-3.2799535,-2.7022754549980164
39,right,Fissure_Parieto_Occipitale,18,2.8205223,-1.7928362,-2.1041994,-6.196619,-5.609947419166565
39,right,Sillon_Olfactif,19,1.5181837,-0.33561987,-0.32120228,-3.403451,-3.0862731337547302
39,right,S.Or.,20,1.7385439,-1.0836623,-0.9830468,-4.5801024,-4.170847177505493
39,right,S.O.T.Lat.,21,1.6924499,-1.1088171,-1.2052307,-4.5824866,-4.080970978736877
39,right,S.C.LPC.,22,1.5781591,1.5118461,1.5145363,-0.5711721,-0.1709421306848526
39,right,S.F.int.,23,1.5301962,-1.3392804,-1.2692436,-3.4061322,-3.260637044906616
39,right,S.F.marginal,24,1.6666503,0.87340367,0.55843914,-2.37385,-1.7920244634151459
39,right,S.F.Orbitaire,25,3.934625,3.934625,3.9936695,2.9259424,3.036972737312317
39,right,S.Rh.,26,1.9595728,1.9595728,1.6652288,0.8142885,0.9375861138105392
39,right,F.I.P.sup.,27,1.8803161,-1.4992639,-1.654221,-4.6152797,-4.197083377838135
39,right,S.Pa.sup.,28,2.9993935,2.9993935,2.966893,2.0035741,2.050806665420532
