Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
28,left,Sillon_Central,2,2.9406953,-2.7037623,-3.1088343,-5.0701156,-4.703081798553467
28,left,Sillon_Temporal_superieur,3,1.505663,-1.2149345,-1.1007748,-3.8205793,-3.4173786640167236
28,left,S.Pe.C.inf.,4,1.3054725,-0.9125708,-0.873911,-3.4954712,-3.0503666520118715
28,left,S.Pe.C.sup.,5,1.0347277,0.32512325,0.34856606,-2.7059734,-1.6318801403045653
28,left,S.Po.C.,6,1.23463,-0.7174137,-0.88370574,-3.0098517,-2.5982843041419983
28,left,Fissure_Intra_Parietale,7,1.1564825,-0.7898065,-0.8338905,-2.8964152,-2.6041205167770385
28,left,Sillon_Frontal_superieur,8,1.2182357,-0.83624136,-1.0227857,-3.088654,-2.3588897228240966
28,left,Sillon_Frontal_inferieur,9,0.9424286,-0.81232816,-0.73089296,-2.747436,-2.240783429145813
28,left,S.T.i.,10,0.734278,0.49387944,0.30354688,-1.0131643,-0.5685180783271789
28,left,F.C.M.,11,1.7679385,-1.4451337,-1.395756,-4.4371805,-4.048391652107239
28,left,Fissure_Calcarine.,12,2.7435615,-2.3038478,-2.7065547,-5.4535933,-4.944738388061523
28,left,S.F.int.,13,0.7614356,-0.7180396,-0.79518193,-1.6786124,-1.5007139444351196
28,left,S.R.inf,14,0.49968144,-0.47676522,-0.44023892,-1.3623418,-1.1672284603118896
28,left,F.Coll.,15,1.0927061,-0.68544674,-0.41778967,-4.171067,-3.1108298778533934
28,left,S.S.p.,16,0.8209731,-0.2716284,-0.38242847,-2.3145144,-1.6356520056724548
28,left,S.Call.,17,1.2633069,-0.74451816,-0.6787712,-4.0849752,-2.762205982208252
28,left,Fissure_Parieto_Occipitale,18,2.1138961,-1.8942206,-2.0774255,-4.6063128,-4.297836780548096
28,left,Sillon_Olfactif,19,1.6982749,-1.5946383,-1.4953974,-4.0591865,-3.686963033676147
28,left,S.Or.,20,0.80855274,-0.5314516,-0.6382949,-1.5846952,-1.4980852246284484
28,left,S.O.T.Lat.,21,1.062427,-0.5908655,-0.6093943,-3.5405684,-2.9122843742370605
28,left,S.C.LPC.,22,0.4124355,0.13030483,0.13240899,-0.5921607,-0.5609084606170655
28,left,S.F.int.,23,0.52322245,-0.34143952,-0.36811244,-1.3675964,-1.1846044659614563
28,left,S.F.marginal,24,0.3817499,-0.0750082,-0.14064851,-0.7869859,-0.6949925869703293
28,left,S.F.Orbitaire,25,0.240496,0.09870359,0.029456303,-0.37311625,-0.22648302987217903
28,left,S.Rh.,26,1.2434555,1.2032083,1.2246084,-0.2720477,-0.18231779038906096
28,left,F.I.P.sup.,27,1.3307908,-0.9573887,-0.97420603,-3.0022023,-2.8540899753570557
28,left,S.Pa.sup.,28,0.686977,0.6735891,0.66198885,-0.20807005,-0.001072063110768788
