Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
40,right,Sillon_Central,2,4.382744,-4.279602,-4.4269314,-8.636893,-7.619544982910156
40,right,Sillon_Temporal_superieur,3,3.4918468,-3.0384824,-3.4017577,-6.6597204,-6.30267174243927
40,right,S.Pe.C.inf.,4,3.7457888,-3.3711622,-3.7387357,-7.3143573,-6.695854902267456
40,right,S.Pe.C.sup.,5,2.8502235,-2.1486125,-2.2962775,-6.8778505,-6.2411381006240845
40,right,S.Po.C.,6,3.0951226,-2.7396355,-2.9480586,-7.783663,-6.953410863876343
40,right,Fissure_Intra_Parietale,7,2.0718262,-1.8856258,-1.8730974,-4.629623,-4.041676330566406
40,right,Sillon_Frontal_superieur,8,2.5436695,-2.1621878,-2.4779606,-5.155519,-4.710023546218872
40,right,Sillon_Frontal_inferieur,9,2.2280438,-0.63633615,-1.3241156,-4.946466,-3.855068564414978
40,right,S.T.i.,10,1.9390005,1.5323797,0.93879455,-1.6854475,-1.273413348197937
40,right,F.C.M.,11,4.1640325,-4.022527,-4.3946037,-8.347404,-7.40568175315857
40,right,Fissure_Calcarine.,12,4.120019,-4.120019,-3.7513523,-8.772064,-7.929192852973938
40,right,S.F.int.,13,1.9575605,1.7871617,1.7689016,-1.7683144,-0.7740755021572111
40,right,S.R.inf,14,0.62107843,0.07462919,-0.011346589,-1.2215571,-1.0856322348117828
40,right,F.Coll.,15,3.7551959,-3.7141936,-3.838715,-7.3078485,-6.8046972274780275
40,right,S.S.p.,16,1.8279866,-1.4164228,-1.5207458,-4.526279,-4.047312498092651
40,right,S.Call.,17,1.3288784,-1.3246222,-1.3319147,-3.4170136,-2.7258018851280212
40,right,Fissure_Parieto_Occipitale,18,2.9588642,-1.6510543,-2.0644026,-6.701593,-5.8833416223526
40,right,Sillon_Olfactif,19,1.5903217,0.14180996,0.074211575,-3.2031806,-2.851220965385437
40,right,S.Or.,20,1.8409674,-1.1195409,-1.0612787,-4.450743,-4.245580053329467
40,right,S.O.T.Lat.,21,1.7511342,-1.1326131,-1.2968826,-4.3767343,-3.863140416145325
40,right,S.C.LPC.,22,1.727465,1.727465,1.7096016,0.010563913,0.2087427079677582
40,right,S.F.int.,23,1.448418,-0.964205,-1.0890377,-3.8804715,-3.263097405433655
40,right,S.F.marginal,24,1.6338739,0.83693624,0.4127343,-2.1948397,-1.5602030336856842
40,right,S.F.Orbitaire,25,4.577601,4.577601,4.7342815,3.5921872,3.779342246055603
40,right,S.Rh.,26,1.7721192,1.7721192,1.4194739,0.62934583,0.762881800532341
40,right,F.I.P.sup.,27,1.9363166,-1.6897653,-1.5536724,-5.376504,-4.7061385154724125
40,right,S.Pa.sup.,28,3.0251656,3.0251656,3.0818224,2.1346145,2.215914011001587
