Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
31,left,Sillon_Central,2,1.3241549,-1.2949762,-1.3807344,-2.29149,-2.094153118133545
31,left,Sillon_Temporal_superieur,3,0.86076474,-0.710777,-0.7980633,-1.973752,-1.7026423454284667
31,left,S.Pe.C.inf.,4,0.8173846,-0.6867103,-0.77334,-2.0032475,-1.781871062517166
31,left,S.Pe.C.sup.,5,0.62637544,-0.17152737,-0.23674017,-1.6651827,-1.3402800559997559
31,left,S.Po.C.,6,0.72399914,-0.5698621,-0.61528766,-1.8871363,-1.580149620771408
31,left,Fissure_Intra_Parietale,7,0.87296754,-0.7812482,-0.78146565,-2.0047112,-1.861798107624054
31,left,Sillon_Frontal_superieur,8,0.7929029,-0.70763636,-0.73969036,-1.8334469,-1.5696959733963012
31,left,Sillon_Frontal_inferieur,9,0.7107334,-0.6813382,-0.7397109,-1.4861896,-1.3394296407699584
31,left,S.T.i.,10,0.36488402,0.16255729,0.09814626,-0.83168006,-0.5349245250225068
31,left,F.C.M.,11,0.99488044,-0.8939979,-1.0057352,-2.179729,-1.964744234085083
31,left,Fissure_Calcarine.,12,1.2227777,-1.0834882,-1.270319,-2.3714316,-2.2263679981231688
31,left,S.F.int.,13,0.4482112,-0.42601463,-0.47003633,-1.0509098,-0.8179431557655334
31,left,S.R.inf,14,0.381312,-0.3565884,-0.31532884,-1.0758749,-0.9704567790031433
31,left,F.Coll.,15,0.77620065,-0.5974034,-0.56074804,-2.3189123,-1.98694988489151
31,left,S.S.p.,16,0.48014164,-0.3249214,-0.33735844,-1.3024169,-1.0766057670116425
31,left,S.Call.,17,1.0257983,-0.76006943,-0.83301514,-2.32766,-2.1056556701660156
31,left,Fissure_Parieto_Occipitale,18,0.9903082,-0.94426125,-1.0271618,-1.9901978,-1.8595521450042725
31,left,Sillon_Olfactif,19,0.9647699,-0.75806814,-0.8577497,-2.1249251,-1.9413719415664672
31,left,S.Or.,20,0.44528556,-0.3721295,-0.37902275,-1.1226969,-0.9526202648878097
31,left,S.O.T.Lat.,21,0.63441044,-0.48431545,-0.49026617,-1.865463,-1.6044643223285675
31,left,S.C.LPC.,22,0.15914746,-0.018419594,-0.034501072,-0.32220063,-0.29052013754844663
31,left,S.F.int.,23,0.4830652,-0.40939373,-0.41199338,-1.2653103,-1.0870409905910492
31,left,S.F.marginal,24,0.3545765,-0.22287388,-0.22836414,-0.9377754,-0.8008036762475967
31,left,S.F.Orbitaire,25,0.28146836,-0.23483807,-0.26569635,-0.60381114,-0.5675682604312897
31,left,S.Rh.,26,0.5599653,0.52540064,0.51327515,-0.24900416,-0.15415016561746597
31,left,F.I.P.sup.,27,0.84608227,-0.7916172,-0.7580952,-1.8524481,-1.743067741394043
31,left,S.Pa.sup.,28,0.23992577,-0.016765948,-0.018439377,-0.48910114,-0.42445078343153
