Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
35,left,Sillon_Central,2,1.4224324,-1.4195172,-1.4775127,-2.5693123,-2.300418722629547
35,left,Sillon_Temporal_superieur,3,1.0804454,-0.99228805,-1.0581667,-2.3152528,-2.060449457168579
35,left,S.Pe.C.inf.,4,1.1295898,-1.071259,-1.1904964,-2.4271264,-2.1407756090164183
35,left,S.Pe.C.sup.,5,1.0109328,-0.886454,-0.91604954,-2.4659097,-2.0918189525604247
35,left,S.Po.C.,6,1.0077859,-0.91087836,-0.83184767,-2.5960617,-2.2413204312324524
35,left,Fissure_Intra_Parietale,7,1.2078458,-1.1876588,-1.1104877,-2.6623094,-2.4680879712104797
35,left,Sillon_Frontal_superieur,8,1.0979232,-1.0419176,-1.0252984,-2.2671542,-2.1390729427337645
35,left,Sillon_Frontal_inferieur,9,1.0429362,-1.0316665,-1.1264476,-2.055276,-1.8961293935775756
35,left,S.T.i.,10,0.4389358,-0.107796796,-0.14008328,-1.3762437,-0.9723681449890136
35,left,F.C.M.,11,1.2371615,-1.158241,-1.2759042,-2.5961735,-2.253611958026886
35,left,Fissure_Calcarine.,12,1.3320205,-1.2427491,-1.4106457,-2.6279886,-2.3918624401092528
35,left,S.F.int.,13,0.56459403,-0.53310984,-0.5910281,-1.4626935,-1.1313821077346802
35,left,S.R.inf,14,0.6689077,-0.61121935,-0.60741854,-1.5919595,-1.4361634850502014
35,left,F.Coll.,15,1.1551445,-0.99453497,-1.1133531,-2.6712189,-2.3305739164352417
35,left,S.S.p.,16,0.7750436,-0.63331914,-0.5899514,-2.100162,-1.7882476568222045
35,left,S.Call.,17,1.3898023,-1.1281942,-1.3396759,-2.7731764,-2.6563458919525145
35,left,Fissure_Parieto_Occipitale,18,1.1607008,-1.1324984,-1.1999116,-2.2395418,-2.030212879180908
35,left,Sillon_Olfactif,19,1.2748774,-1.0755318,-1.2786357,-2.654134,-2.4670605182647707
35,left,S.Or.,20,0.6772868,-0.6532864,-0.58079505,-1.6756301,-1.48345787525177
35,left,S.O.T.Lat.,21,0.9371193,-0.8210574,-0.87789726,-2.3782675,-2.059518575668335
35,left,S.C.LPC.,22,0.20386177,-0.17655148,-0.20179941,-0.40909716,-0.36272658705711364
35,left,S.F.int.,23,0.87188625,-0.77472264,-0.8035877,-2.0428157,-1.8576756715774536
35,left,S.F.marginal,24,0.7059275,-0.60241705,-0.61211467,-1.7495837,-1.5397509336471558
35,left,S.F.Orbitaire,25,0.7079789,-0.7079789,-0.7026153,-1.1517345,-1.106453800201416
35,left,S.Rh.,26,0.60793227,0.34539664,0.3004899,-1.0887415,-0.8455191612243652
35,left,F.I.P.sup.,27,1.0389456,-0.9877837,-0.9623632,-2.391257,-2.2313951015472413
35,left,S.Pa.sup.,28,0.4774511,-0.19736522,-0.09897253,-1.0695938,-1.0226418733596803
