Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
43,right,Sillon_Central,2,4.3172126,-4.203234,-4.2668715,-9.064621,-7.906248474121094
43,right,Sillon_Temporal_superieur,3,4.012092,-3.6081786,-3.8967903,-8.637654,-7.520065951347351
43,right,S.Pe.C.inf.,4,4.251132,-3.9306116,-3.9800842,-9.026585,-8.27595829963684
43,right,S.Pe.C.sup.,5,2.7896564,-2.5049293,-2.0354543,-7.755356,-7.0315021276474
43,right,S.Po.C.,6,3.116298,-2.8935251,-3.0640407,-7.6623974,-6.85450325012207
43,right,Fissure_Intra_Parietale,7,2.7569375,-2.341341,-2.545792,-5.744465,-5.422284364700317
43,right,Sillon_Frontal_superieur,8,3.2025743,-2.9182284,-3.1849656,-6.8047266,-5.890050673484803
43,right,Sillon_Frontal_inferieur,9,2.7131963,-1.8257953,-2.3396287,-6.544167,-5.302824020385742
43,right,S.T.i.,10,1.5873487,0.66985184,0.13789307,-2.0686448,-1.6243792593479156
43,right,F.C.M.,11,4.0763736,-3.9256966,-4.2199545,-8.706421,-7.667487049102784
43,right,Fissure_Calcarine.,12,3.972785,-3.972785,-3.7203112,-8.801698,-7.7544355392456055
43,right,S.F.int.,13,1.6358504,1.4093395,1.3544548,-2.3587651,-0.8143310487270354
43,right,S.R.inf,14,0.6535462,-0.104563974,-0.10731381,-1.3973626,-1.2856166183948516
43,right,F.Coll.,15,3.5561936,-3.5355272,-3.4498928,-7.365848,-6.849203491210937
43,right,S.S.p.,16,2.1106417,-1.8250434,-1.9216279,-5.147418,-4.583613872528076
43,right,S.Call.,17,0.92918617,-0.7983106,-0.88250434,-2.6353526,-1.9251504242420197
43,right,Fissure_Parieto_Occipitale,18,3.1459472,-2.1314125,-2.504932,-6.9936676,-6.518088698387146
43,right,Sillon_Olfactif,19,1.5651988,-0.42930427,-0.33438006,-3.6909919,-3.2941383123397827
43,right,S.Or.,20,2.4851258,-2.0721443,-1.9291961,-5.912844,-5.522075843811035
43,right,S.O.T.Lat.,21,2.220961,-2.095936,-2.0503411,-5.417617,-4.852759766578674
43,right,S.C.LPC.,22,2.7723353,2.7723353,2.7431507,1.0707744,1.421129870414734
43,right,S.F.int.,23,1.7187096,-1.4840889,-1.2083733,-4.840904,-4.455840826034546
43,right,S.F.marginal,24,1.6880119,-0.2969112,-0.6112107,-3.9515862,-3.4727520108222962
43,right,S.F.Orbitaire,25,2.9274528,2.9274528,2.7764244,2.2085633,2.2534568071365357
43,right,S.Rh.,26,1.6900221,1.6900221,1.6595988,0.48846543,0.5971631109714508
43,right,F.I.P.sup.,27,2.0538874,-1.3310401,-1.5363548,-6.2220664,-4.435995483398438
43,right,S.Pa.sup.,28,1.8043846,1.8043846,1.6204433,0.61263674,0.7205991148948669
