Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
35,left,Sillon_Central,2,2.997173,-2.9910302,-3.1132317,-5.4137363,-4.847156882286072
35,left,Sillon_Temporal_superieur,3,2.2765806,-2.0908263,-2.2296379,-4.878413,-4.341523456573486
35,left,S.Pe.C.inf.,4,2.3801317,-2.257224,-2.5084662,-5.1141396,-4.510776877403259
35,left,S.Pe.C.sup.,5,2.1301122,-1.867826,-1.930186,-5.195859,-4.407621574401856
35,left,S.Po.C.,6,2.1234813,-1.91929,-1.7527664,-5.4700994,-4.72263240814209
35,left,Fissure_Intra_Parietale,7,2.545023,-2.5024874,-2.339882,-5.6096883,-5.200448942184448
35,left,Sillon_Frontal_superieur,8,2.3134074,-2.1953995,-2.1603816,-4.777066,-4.50718936920166
35,left,Sillon_Frontal_inferieur,9,2.197546,-2.1737998,-2.3735108,-4.3306227,-3.9952888250350953
35,left,S.T.i.,10,0.92487097,-0.22713606,-0.2951661,-2.89985,-2.0488535165786743
35,left,F.C.M.,11,2.6067934,-2.4405022,-2.6884272,-5.470335,-4.748531651496887
35,left,Fissure_Calcarine.,12,2.806668,-2.618567,-2.9723377,-5.5373716,-5.039836025238037
35,left,S.F.int.,13,1.1896424,-1.1233028,-1.2453411,-3.0820062,-2.3839080333709717
35,left,S.R.inf,14,1.4094393,-1.2878854,-1.2798771,-3.3543794,-3.026105523109436
35,left,F.Coll.,15,2.4339771,-2.0955608,-2.3459196,-5.6284614,-4.910696411132813
35,left,S.S.p.,16,1.6330756,-1.3344517,-1.2430725,-4.425201,-3.7679739236831664
35,left,S.Call.,17,2.928419,-2.377191,-2.822799,-5.843293,-5.597122573852539
35,left,Fissure_Parieto_Occipitale,18,2.445685,-2.3862603,-2.5283048,-4.718885,-4.277812957763672
35,left,Sillon_Olfactif,19,2.6862636,-2.2662272,-2.6941826,-5.592462,-5.198283863067627
35,left,S.Or.,20,1.4270947,-1.376524,-1.2237793,-3.5306802,-3.1257584929466247
35,left,S.O.T.Lat.,21,1.9745817,-1.7300303,-1.8497962,-5.0111904,-4.339562177658081
35,left,S.C.LPC.,22,0.4295523,-0.37200737,-0.4252067,-0.86199886,-0.7642924904823303
35,left,S.F.int.,23,1.8371307,-1.6323996,-1.6932204,-4.304368,-3.9142637252807617
35,left,S.F.marginal,24,1.487443,-1.2693384,-1.289772,-3.6865058,-3.2443721294403076
35,left,S.F.Orbitaire,25,1.4917655,-1.4917655,-1.480464,-2.4267921,-2.3313822507858277
35,left,S.Rh.,26,1.2809596,0.72777694,0.63315505,-2.2940612,-1.7815731525421143
35,left,F.I.P.sup.,27,2.1891372,-2.0813353,-2.0277724,-5.0385604,-4.701718807220459
35,left,S.Pa.sup.,28,1.0060258,-0.4158635,-0.20854264,-2.2537153,-2.1547841668128966
