subject,sessions,alphas,diff_fundicrest_dpfstar
CC00735XX18,222201,0,0.20897596668593085
CC00735XX18,222201,1,0.21511921924370472
CC00735XX18,222201,5,0.225987430482581
CC00735XX18,222201,10,0.2309841541972092
CC00735XX18,222201,50,0.278582292217203
CC00735XX18,222201,100,0.3121254999857343
CC00735XX18,222201,150,0.33185975818269237
CC00735XX18,222201,200,0.36783408022489217
CC00735XX18,222201,250,0.3955368021029977
CC00735XX18,222201,300,0.4175972773589409
CC00735XX18,222201,400,0.46003704204488577
CC00735XX18,222201,500,0.49020433968719257
CC00735XX18,222201,600,0.4969950219846933
CC00735XX18,222201,700,0.5145756106565267
CC00735XX18,222201,800,0.5287422674191016
CC00735XX18,222201,900,0.5403613303465057
CC00735XX18,222201,1000,0.5509596702825001
CC00735XX18,222201,2000,0.6325723793806337
CC00672AN13,197601,0,0.13423072321008023
CC00672AN13,197601,1,0.1352072358055987
CC00672AN13,197601,5,0.15150922523153765
CC00672AN13,197601,10,0.1628398031742558
CC00672AN13,197601,50,0.21885485104516614
CC00672AN13,197601,100,0.23882178591496564
CC00672AN13,197601,150,0.2672156859439929
CC00672AN13,197601,200,0.291860433933278
CC00672AN13,197601,250,0.31209915595251186
CC00672AN13,197601,300,0.32639241242012695
CC00672AN13,197601,400,0.35394020142282884
CC00672AN13,197601,500,0.38221521437644723
CC00672AN13,197601,600,0.4091917041448615
CC00672AN13,197601,700,0.43664165492294316
CC00672AN13,197601,800,0.4609056808159639
CC00672AN13,197601,900,0.4831949852205274
CC00672AN13,197601,1000,0.5016008181299059
CC00672AN13,197601,2000,0.6242382732193708
CC00672BN13,200000,0,0.20398770895200605
CC00672BN13,200000,1,0.2075484432634534
CC00672BN13,200000,5,0.21590388439038258
CC00672BN13,200000,10,0.21797038379757583
CC00672BN13,200000,50,0.25312502741868736
CC00672BN13,200000,100,0.28222056406543583
CC00672BN13,200000,150,0.3070801181243419
CC00672BN13,200000,200,0.3372383971382059
CC00672BN13,200000,250,0.369256039470755
CC00672BN13,200000,300,0.4008260197210485
CC00672BN13,200000,400,0.4665273958510136
CC00672BN13,200000,500,0.5163596872541824
CC00672BN13,200000,600,0.5468645663393935
CC00672BN13,200000,700,0.5709864577617456
CC00672BN13,200000,800,0.589366701511175
CC00672BN13,200000,900,0.5987342547210708
CC00672BN13,200000,1000,0.6086330061750849
CC00672BN13,200000,2000,0.6919978696794685
CC00621XX11,177900,0,0.24498711492725345
CC00621XX11,177900,1,0.2500126438968189
CC00621XX11,177900,5,0.2658025452543016
CC00621XX11,177900,10,0.27811898948224106
CC00621XX11,177900,50,0.3245507753025965
CC00621XX11,177900,100,0.34278900653972516
CC00621XX11,177900,150,0.3686492978292043
CC00621XX11,177900,200,0.40452568857512083
CC00621XX11,177900,250,0.4317924614097166
CC00621XX11,177900,300,0.45463485435211715
CC00621XX11,177900,400,0.49016972961926564
CC00621XX11,177900,500,0.5296922629581289
CC00621XX11,177900,600,0.5645814791074092
CC00621XX11,177900,700,0.5925364126859997
CC00621XX11,177900,800,0.6144986430359217
CC00621XX11,177900,900,0.6336719429700606
CC00621XX11,177900,1000,0.6482257430649964
CC00621XX11,177900,2000,0.7508052961735907
CC00829XX21,17610,0,0.313368788762811
CC00829XX21,17610,1,0.31240506786684435
CC00829XX21,17610,5,0.32123633462405426
CC00829XX21,17610,10,0.3320107801953923
CC00829XX21,17610,50,0.4040146765145399
CC00829XX21,17610,100,0.4628331261782942
CC00829XX21,17610,150,0.5028556759348626
CC00829XX21,17610,200,0.5347228788900239
CC00829XX21,17610,250,0.5603220829845663
CC00829XX21,17610,300,0.585007788521533
CC00829XX21,17610,400,0.6319350228693691
CC00829XX21,17610,500,0.6719471566102946
CC00829XX21,17610,600,0.6995673619802446
CC00829XX21,17610,700,0.7230862933133283
CC00829XX21,17610,800,0.7394281456803159
CC00829XX21,17610,900,0.7551337264398748
CC00829XX21,17610,1000,0.7669631946392269
CC00829XX21,17610,2000,0.849169864993225
CC00617XX15,176500,0,0.31787749478312594
CC00617XX15,176500,1,0.3196726761302919
CC00617XX15,176500,5,0.3238072636625279
CC00617XX15,176500,10,0.33011109928291527
CC00617XX15,176500,50,0.36578069718270984
CC00617XX15,176500,100,0.4056782474728389
CC00617XX15,176500,150,0.44142370924675317
CC00617XX15,176500,200,0.4666761767064362
CC00617XX15,176500,250,0.4948252934672356
CC00617XX15,176500,300,0.5256067434033618
CC00617XX15,176500,400,0.563682206903955
CC00617XX15,176500,500,0.6051584595042621
CC00617XX15,176500,600,0.6364877610153203
CC00617XX15,176500,700,0.6597732722107404
CC00617XX15,176500,800,0.6812797139185588
CC00617XX15,176500,900,0.6963117760657629
CC00617XX15,176500,1000,0.7104328657243804
CC00617XX15,176500,2000,0.7780946907882033
CC00712XX11,221400,0,0.2692690651870875
CC00712XX11,221400,1,0.27039064051992856
CC00712XX11,221400,5,0.27688482426581285
CC00712XX11,221400,10,0.2838522280812781
CC00712XX11,221400,50,0.3368792094689168
CC00712XX11,221400,100,0.38590520498571307
CC00712XX11,221400,150,0.43428458720298413
CC00712XX11,221400,200,0.4691746679296908
CC00712XX11,221400,250,0.4988593512918075
CC00712XX11,221400,300,0.5291511505973718
CC00712XX11,221400,400,0.5748172116551129
CC00712XX11,221400,500,0.606590123993815
CC00712XX11,221400,600,0.6343540561299087
CC00712XX11,221400,700,0.6527362143212644
CC00712XX11,221400,800,0.6677164762130695
CC00712XX11,221400,900,0.6831273952551821
CC00712XX11,221400,1000,0.6953441407728933
CC00712XX11,221400,2000,0.7815149488319854
CC00385XX15,118500,0,0.15508987257208479
CC00385XX15,118500,1,0.15807495992542042
CC00385XX15,118500,5,0.17558890458211063
CC00385XX15,118500,10,0.19569045105943195
CC00385XX15,118500,50,0.3031861084610133
CC00385XX15,118500,100,0.3669174969205271
CC00385XX15,118500,150,0.4210712571401501
CC00385XX15,118500,200,0.46498488209447447
