Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
34,left,Sillon_Central,2,3.0393932,-3.0270388,-3.1636415,-5.47672,-4.869980072975158
34,left,Sillon_Temporal_superieur,3,2.2255666,-1.9765764,-2.1783197,-4.852943,-4.245396614074707
34,left,S.Pe.C.inf.,4,2.2678545,-2.1055892,-2.3334274,-5.1246414,-4.514062929153442
34,left,S.Pe.C.sup.,5,1.9494665,-1.5170175,-1.614703,-4.9806886,-4.1105451583862305
34,left,S.Po.C.,6,2.0258222,-1.8012595,-1.7201194,-5.2582226,-4.461872816085815
34,left,Fissure_Intra_Parietale,7,2.479528,-2.4090455,-2.2702641,-5.4594884,-5.075955653190612
34,left,Sillon_Frontal_superieur,8,2.2109594,-2.0865867,-2.0942695,-4.7981205,-4.373563575744629
34,left,Sillon_Frontal_inferieur,9,2.0858326,-2.0493343,-2.2445955,-4.1971197,-3.8245723128318785
34,left,S.T.i.,10,0.8817216,-0.040207323,-0.10590655,-2.8443604,-1.9550960898399352
34,left,F.C.M.,11,2.5657437,-2.4073367,-2.6005106,-5.432894,-4.746817517280578
34,left,Fissure_Calcarine.,12,2.8151073,-2.6150577,-3.0291893,-5.4991245,-5.085591125488281
34,left,S.F.int.,13,1.1461122,-1.114419,-1.2231883,-2.9416902,-2.385222911834717
34,left,S.R.inf,14,1.2551581,-1.1330962,-1.0687629,-3.2069266,-2.811764121055603
34,left,F.Coll.,15,2.2845216,-1.9123511,-2.113656,-5.6373687,-4.846276950836182
34,left,S.S.p.,16,1.5070548,-1.1910664,-1.1011882,-4.126387,-3.5023860216140745
34,left,S.Call.,17,2.8954208,-2.2657838,-2.7202952,-5.76262,-5.579288101196289
34,left,Fissure_Parieto_Occipitale,18,2.4189012,-2.3558662,-2.4633164,-4.6651435,-4.313898324966431
34,left,Sillon_Olfactif,19,2.5837748,-2.05785,-2.517817,-5.497972,-5.112209320068359
34,left,S.Or.,20,1.3192555,-1.2495424,-1.1664257,-3.2839458,-2.8856308817863465
34,left,S.O.T.Lat.,21,1.8159869,-1.5664738,-1.5990928,-4.751329,-4.095217347145081
34,left,S.C.LPC.,22,0.3708294,-0.2859841,-0.3903828,-0.65233994,-0.636278486251831
34,left,S.F.int.,23,1.6760275,-1.4991324,-1.5077888,-4.0503836,-3.762447237968445
34,left,S.F.marginal,24,1.3298467,-1.0864925,-1.0680988,-3.4933302,-3.0863808393478394
34,left,S.F.Orbitaire,25,1.3016293,-1.3016293,-1.2424188,-2.2278857,-2.1546144247055055
34,left,S.Rh.,26,1.250115,0.9439956,0.8756364,-1.5958095,-1.244947862625122
34,left,F.I.P.sup.,27,2.1902566,-2.1115947,-2.07699,-4.9218345,-4.577755260467529
34,left,S.Pa.sup.,28,0.94134563,-0.33533624,-0.24192116,-1.9967617,-1.9494036316871644
