Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
43,right,Sillon_Central,2,2.8462915,-2.842439,-2.9420526,-5.3116374,-4.7736742973327635
43,right,Sillon_Temporal_superieur,3,2.6450982,-2.6060941,-2.5547106,-5.6657743,-5.047295188903808
43,right,S.Pe.C.inf.,4,2.7301805,-2.709994,-2.735669,-5.4849987,-5.0539162158966064
43,right,S.Pe.C.sup.,5,2.6697068,-2.639123,-2.6606421,-5.527818,-4.973029255867004
43,right,S.Po.C.,6,2.5132828,-2.4164932,-2.5400257,-5.472329,-4.7564922094345095
43,right,Fissure_Intra_Parietale,7,2.5861018,-2.4373553,-2.408022,-5.5692377,-5.233252382278442
43,right,Sillon_Frontal_superieur,8,2.6833105,-2.594483,-2.546327,-5.43972,-5.083747386932373
43,right,Sillon_Frontal_inferieur,9,2.2553747,-2.0205858,-2.2522013,-4.525237,-4.141222715377808
43,right,S.T.i.,10,2.0863993,-2.074379,-2.1138744,-4.2237825,-3.492730641365051
43,right,F.C.M.,11,2.8376021,-2.7937555,-2.9301748,-5.545771,-4.909626460075378
43,right,Fissure_Calcarine.,12,2.596795,-2.570755,-2.6381946,-5.3234744,-4.67579414844513
43,right,S.F.int.,13,1.5743371,-1.5538678,-1.5041761,-3.8305502,-3.2351225137710573
43,right,S.R.inf,14,1.6433796,-1.4384634,-1.4366966,-3.607399,-3.5304678797721865
43,right,F.Coll.,15,2.9227254,-2.802674,-2.8668823,-5.69839,-5.350301074981689
43,right,S.S.p.,16,2.2718167,-2.267202,-2.1545277,-5.2749624,-4.4954917430877686
43,right,S.Call.,17,2.5251746,-2.4753625,-2.580811,-6.0548434,-4.513482928276062
43,right,Fissure_Parieto_Occipitale,18,2.4162583,-2.3762562,-2.530629,-4.299596,-4.046345973014832
43,right,Sillon_Olfactif,19,3.2963965,-3.2942538,-3.3791637,-5.6785865,-5.30192244052887
43,right,S.Or.,20,2.1858747,-2.1072054,-1.8970159,-4.872731,-4.456112670898437
43,right,S.O.T.Lat.,21,2.6669447,-2.6525118,-2.6083946,-5.4489326,-5.004898715019226
43,right,S.C.LPC.,22,0.9948917,-0.37387142,0.037802957,-2.6389444,-2.2826281547546388
43,right,S.F.int.,23,2.4266574,-2.314664,-2.4700089,-4.879007,-4.656228303909302
43,right,S.F.marginal,24,2.383127,-2.3345163,-2.3985736,-4.746304,-4.296246647834778
43,right,S.F.Orbitaire,25,0.63217133,-0.11411357,-0.15981366,-1.2127565,-1.1599705040454864
43,right,S.Rh.,26,1.7447792,-1.6462342,-1.8356762,-3.5612156,-3.3765616416931152
43,right,F.I.P.sup.,27,2.0708296,-1.9052335,-2.0230434,-4.804507,-4.04234209060669
43,right,S.Pa.sup.,28,1.8048378,-1.7998614,-1.727554,-3.1654937,-3.087165355682373
